Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
ColognaVeneta 45.310833 11.383056 27 0.004461942 0.004780362 0.004710975 0.004680582 0.005195134 0.005102041 0.005054864 0.004995735 0.004941545 0.004996431 0.004955168 0.004896817 0.004843173 0.004847086 0.004829807
ColognolaaiColli 45.434167 11.192500 28 0.005905802 0.005853088 0.005802147 0.005799623 0.005772006 0.007093205 0.006858711 0.003742815 0.006505334 0.002817623 0.005623594 0.007821093 0.008180943 0.008568368 0.008984514
Concamarise 45.208889 11.139444 29 0 0 0 0 0 0 0 0 0 0 0.007677543 0.00750469 0.007469655 0.00750469 0.007455732
Costermano 45.588889 10.743333 30 0.404515174 0.421514819 0.404946996 0.398756047 0.392595063 0.415184244 0.403508772 0.429174201 0.389136242 0.440524781 0.457593123 0.451667134 0.415306697 0.413669065 0.4408867
Dolcè 45.601111 10.853333 31 0.021983162 0.021678967 0.02130553 0.016495765 0.018995929 0.018213356 0.017834395 0.017595308 0.017391304 0.017412935 0.00968523 0.009356725 0.016627997 0.02632583 0.026285714
Erbè 45.240833 10.970000 32 0 0 0 0 0 0 0.003738318 0.003705991 0.003757044 0.003690037 0.003488372 0.003382187 0.008993817 0.003311258 0.003250271
Erbezzo 45.641111 11.001111 33 0.251308901 0.216601816 0.173629243 0.421671018 0.438303342 0.437340153 0.416352201 0.270704574 0.414267835 0.299744898 0.189808917 0.069708492 0.069974555 0.175349428 0.193630573
FerraradiMonteBaldo 45.677778 10.854722 34 1.206730769 1.532019704 1.466981132 1.460093897 1.636842105 1.453271028 1.252293578 1.263888889 1.3125 1.203045685 1.331683168 1.164319249 1.275229358 1.203539823 1.182608696
Fumane 45.544444 10.883611 35 0.036516094 0.038827043 0.038276231 0.038163864 0.038280021 0.037833636 0.060909792 0.048618219 0.059939302 0.076884422 0.070505001 0.067616518 0.072964484 0.069431051 0.072619048
Garda 45.576667 10.708611 36 1.540979021 1.544240401 1.477191042 1.477563231 1.505680244 1.478581173 1.423253305 1.307994758 1.378265413 1.326365299 1.325429911 1.260581336 1.230711423 1.21688247 1.215377033
GazzoVeronese 45.143056 11.104444 37 0 0 0 0 0 0.003262051 0.003239741 0.003223496 0.003218309 0 0.003226385 0.003210273 0.003230438 0.005757467 0.005737852
Grezzana 45.520833 11.018333 38 0.0203765 0.020248741 0.019273914 0.0212295 0.025896414 0.026136026 0.035354514 0.035154394 0.034340013 0.025279579 0.036125409 0.024392489 0.023717595 0.018526969 0.023062313
Illasi 45.469444 11.181667 39 0 0 0.001644737 0.001622389 0.006116208 0.006043513 0.00812042 0.007237872 0.007919645 0.013929193 0.015490534 0.015601218 0.018277746 0.017989614 0.017992951
IsoladellaScala 45.273611 11.006389 40 0.006464884 0.006443425 0.007012076 0.00715103 0.006562054 0.007949126 0.007318203 0.007249702 0.007152558 0.006448146 0.009915892 0.009071086 0.010075567 0.011938749 0.016589942
IsolaRizza 45.292500 11.199722 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lavagno 45.442500 11.131944 42 0 0 0 0 0 0 0.000818465 0.0008036 0.000777605 0.001305672 0.003746878 0.002359109 0.003811944 0.00345551 0.003638569
Lazise 45.506667 10.734444 43 3.736657303 3.705283149 3.685311119 3.654769847 3.628717779 3.631708518 4.171461076 4.127957508 4.079307057 3.500544917 3.21080751 3.864968907 4.007706849 4.059845006 4.130403664
Legnago 45.193333 11.310833 44 0.009062611 0.009141858 0.00915678 0.009326053 0.009637562 0.009651475 0.010069999 0.011913744 0.009799235 0.013100091 0.013946505 0.01153484 0.011895445 0.012421875 0.012500491
Malcesine 45.763611 10.809722 45 2.405937768 2.342022343 2.348311391 2.427387078 2.525712607 2.465928946 2.468325137 2.417667238 2.426215525 2.413171967 2.347252747 2.49414966 2.462449529 2.417289221 2.445304162
MaranodiValpolicella 45.558056 10.917778 46 0.003642987 0.003610108 0.003517411 0 0 0 0 0.000336134 0 0.003897369 0.007142857 0.007412182 0.00736 0.013457225 0.013517863
MezzanediSotto 45.483333 11.127778 47 0 0.005817028 0.005720229 0.005768222 0.005860416 0.005777311 0.005774278 0.004104669 0.005505506 0.004828585 0.010050251 0.009569378 0.022610922 0.021496486 0.021496486
Minerbe 45.241389 11.339167 48 0.00409042 0.002586764 0.002586764 0.002805352 0.002829162 0.002818734 0.004342162 0.00152207 0.004377325 0 0.002986985 0.002957955 0.002927033 0.002941794 0.002952341
MontecchiadiCrosara 45.486389 11.254444 49 0.004630758 0.004589372 0.004555263 0.004534606 0.004525965 0.004442366 0.004328018 0.003851382 0.004275428 0.003868912 0.005609154 0.005558026 0.006185112 0.00610687 0.00621118
Monteforted'Alpone 45.423333 11.286389 50 0.001718459 0.001706242 0.001686341 0.001672008 0.001699958 0.00306834 0.004345464 0.003422404 0.00407332 0.00414533 0.004229607 0.0041841 0.007071302 0.005752524 0.005712953
Mozzecane 45.309722 10.818333 51 0 0 0 0 0 0 0 0.004277312 0 0.002020202 0.005450465 0.004860267 0.004745662 0.005128936 0.004993758
Negrar 45.532500 10.938611 52 0.014112262 0.013963142 0.025492756 0.026507212 0.022624992 0.024698134 0.025839169 0.026459144 0.025503516 0.029929162 0.0364562 0.03473844 0.03754286 0.036443825 0.038688411
Nogara 45.179722 11.061667 53 0.009107468 0.009088548 0.009054456 0.008998586 0.008854035 0.012115913 0.011993076 0.011896002 0.011793313 0.009592035 0.013017751 0.012746234 0.01372549 0.013648354 0.013692325
NogaroleRocca 45.293611 10.880000 54 0.038279256 0.037988423 0.037366548 0.036726128 0.036700454 0.036057692 0.038448679 0.040479275 0.036835362 0.047316608 0.076946753 0.07079646 0.078810624 0.095417633 0.099971599
Oppeano 45.307778 11.181389 55 0 0 0 0.011204482 0.011153897 0.010856921 0.010612761 0.013220254 0.010347376 0.01274498 0.01229128 0.011771238 0.01483233 0.016303197 0.016113843
Palù 45.325556 11.154444 56 0.015873016 0.016 0.016057092 0.015929204 0.015943313 0.01584507 0.015306122 0.011854361 0.015075377 0.015138772 0.011363636 0.011023622 0.015600624 0.014007782 0.013782542
Pastrengo 45.492778 10.802778 57 0.024054983 0.024044654 0.02374894 0.023608769 0.025760135 0.025705858 0.015721969 0.017699115 0.014861165 0.016864699 0.076602199 0.086346863 0.09505162 0.094346167 0.092328581
Pescantina 45.484167 10.868333 58 0.013416259 0.01314415 0.012910397 0.012483466 0.012458806 0.015679308 0.016217417 0.01546538 0.014927408 0.014255262 0.018420372 0.01998865 0.01926902 0.019463087 0.019677458
PeschieradelGarda 45.438889 10.694722 59 1.054992112 1.229285794 1.236732862 1.242183122 1.310166097 1.275636614 1.191184759 1.186653342 1.15247028 1.125080317 1.666350411 1.593591731 1.540672286 1.550580929 1.507930292
PoveglianoVeronese 45.347222 10.882222 60 0.00243388 0.002391963 0.002359232 0.002309824 0.004234084 0.005633803 0.00555718 0.005490536 0.005395428 0.005400796 0.005670542 0.006352343 0.007137859 0.007192215 0.007158899
Pressana 45.285833 11.402222 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RivoliVeronese 45.572500 10.813333 62 0.009283136 0.009160305 0.009123163 0.021094927 0.021148036 0.020710059 0.008767657 0.00885391 0.008845209 0.001943635 0.037125178 0.036585366 0.048539114 0.043580131 0.05027933
Roncà 45.481389 11.291667 63 0 0 0 0 0 0 0 0 0 0 0 0 0.00375134 0.003717472 0.003716485
Roncoall'Adige 45.336944 11.248056 64 0.001792757 0.001791473 0.001784758 0.004618938 0.00634473 0.006326889 0.009396207 0.009256085 0.009112386 0.004647303 0.008849558 0.008735037 0.008723748 0.008680276 0.008680276
Roverchiara 45.273056 11.248333 65 0.011814024 0.010935143 0.010820896 0.010894065 0.015031943 0.015134317 0.013098802 0.013035382 0.012962963 0.010740741 0.016129032 0.012473272 0.020993702 0.021134202 0.021299255
RoveredodiGuà 45.274167 11.443333 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RoverèVeronese 45.594167 11.066389 67 0.225509214 0.199711954 0.20464235 0.274315392 0.276009501 0.270038168 0.270644391 0.259276656 0.267074894 0.246465598 0.175568974 0.177880184 0.176094891 0.165004533 0.476060192
Salizzole 45.243889 11.084722 68 0 0 0 0 0 0 0 0 0 0 0.004791057 0.004756871 0.012711864 0.012813668 0.011755277
SanBonifacio 45.396944 11.271389 69 0.013256766 0.014298697 0.015380065 0.01622436 0.017322924 0.017030276 0.01736825 0.017756512 0.016978737 0.01851174 0.020336212 0.016998446 0.016489756 0.015981515 0.014850599
SanGiovanniIlarione 45.525556 11.237222 70 0.006978219 0.006908101 0.006856431 0.004720854 0.004693878 0.004615693 0.004568931 0.00473653 0.00453202 0.003930818 0.005052468 0.005014465 0.00500674 0.0050164 0.006166892
SanGiovanniLupatoto 45.384444 11.045556 71 0.00657738 0.006552395 0.006521431 0.006482525 0.025537508 0.026079262 0.025626945 0.025204789 0.024892208 0.024220087 0.02627605 0.02525016 0.025943001 0.025233336 0.026282377
Sanguinetto 45.182500 11.151667 72 0.00898931 0.009066405 0.0091857 0.009153884 0.009294147 0.009226933 0.009280161 0.009229234 0.009126788 0.009099852 0.008984944 0.009006816 0.008909222 0.008799049 0.008788599
SanMartinoBuonAlbergo 45.423611 11.094722 73 0.025490793 0.025490793 0.025729119 0.025707529 0.025703608 0.026574803 0.030900373 0.030685511 0.030634573 0.031095829 0.034981995 0.034649534 0.04187772 0.0416929 0.043577034
SanMaurodiSaline 45.566667 11.113611 74 0.15904936 0.157894737 0.159633028 0.15858209 0.303135889 0.302083333 0.270506108 0.271929825 0.272887324 0.625 0.026595745 0.071428571 0.081415929 0.184991274 0.548330404
SanPietrodiMorubio 45.243889 11.228611 75 0 0 0 0 0 0 0 0 0 0 0.001365654 0.001339136 0.003370408 0.003306878 0.003274394
SanPietroinCariano 45.515556 10.879167 76 0.020304569 0.020098873 0.021000966 0.021850488 0.022064114 0.023509723 0.023383006 0.023764259 0.02321555 0.032305892 0.032749903 0.033927057 0.039640189 0.040350877 0.041561617
Sant'AmbrogiodiValpolicella 45.525000 10.838333 77 0.012045554 0.012977182 0.012815036 0.011508684 0.012489678 0.012072234 0.011681792 0.012293544 0.011133603 0.013953488 0.014576482 0.015763202 0.016508819 0.016330039 0.01675455
Sant'Annad'Alfaedo 45.628333 10.952500 78 0.143505155 0.141867102 0.141809291 0.230551053 0.230236349 0.181414141 0.163021869 0.16077044 0.159781761 0.151017214 0.10026892 0.074626866 0.078604294 0.187429432 0.184662343
SanZenodiMontagna 45.640000 10.733333 79 1.350550381 1.427392739 1.412244898 1.786001609 1.918072289 1.937400951 1.826153846 1.663403614 1.790346908 1.460843373 1.791176471 1.760029718 1.808058608 1.842993397 1.799280576
SelvadiProgno 45.612500 11.139722 80 0.527 0.531786075 0.533941236 0.520644512 0.50448654 0.507522568 0.508542714 0.518781726 0.516853933 0.220304569 0.262026612 0.025799794 0.029380902 0.076519916 0.181341719
Soave 45.423056 11.248889 81 0.028209192 0.027773444 0.040573897 0.040085353 0.040869037 0.043360434 0.042434065 0.043235294 0.042352941 0.043671355 0.048050241 0.049797336 0.055996536 0.05518922 0.056526062
Sommacampagna 45.408056 10.845556 82 0.026904322 0.026261797 0.02648365 0.025602881 0.025055551 0.024616079 0.024852071 0.027103413 0.023979446 0.029757687 0.033951698 0.034276686 0.03771273 0.038181328 0.038076691
Sona 45.434444 10.833611 83 0 0 0 0 0.01049832 0.011167793 0.011033168 0.012050599 0.010516066 0.013652092 0.016666667 0.018984338 0.023599341 0.026871066 0.027277937
Sorgà 45.213889 10.979444 84 0.005331556 0.005319149 0.005312085 0.005292756 0.005358339 0.005367326 0.005358339 0.005278786 0.005188067 0.001926164 0.001581278 0.001577287 0.006587202 0.010088272 0.010126582
Terrazzo 45.175278 11.398056 85 0 0 0 0 0 0 0 0 0 0.000867303 0.000853242 0.002137666 0.002142245 0.002141328 0.002142245
TorridelBenaco 45.610278 10.687500 86 1.400675929 1.300852167 1.360685631 1.505792904 1.574059862 1.546437896 1.499081895 1.412459721 1.46728972 1.39252669 1.276150628 1.239615517 1.190150479 1.168072899 1.225477288
Tregnago 45.515000 11.167222 87 0.009286619 0.005253204 0.009384776 0.008298755 0.008164932 0.006156372 0.005153577 0.00185109 0.00514086 0.009284093 0.01526873 0.015341138 0.017377248 0.01964358 0.01964358
Trevenzuolo 45.269722 10.933611 88 0.008102345 0.007989907 0.007956449 0.007896924 0.007835052 0.007748777 0.007492114 0.008900929 0.00729927 0.007232585 0.009391435 0.01043997 0.010233918 0.010313076 0.01023766
ValeggiosulMincio 45.354722 10.736667 89 0.072030955 0.072674135 0.072020577 0.074426413 0.073505211 0.064737311 0.061593892 0.053144083 0.057339083 0.052566767 0.099624199 0.099296381 0.159153439 0.158480908 0.219554031
VeloVeronese 45.606111 11.096111 90 0.679292929 0.596754057 0.588669951 0.904411765 0.928301887 0.937738247 0.923654568 0.931818182 0.928301887 0.869785082 0.45125 0.459872611 0.473417722 0.579415502 0.603053435
Verona 45.444444 10.998889 91 0.03032801 0.030744527 0.031743109 0.033335016 0.034923618 0.036086057 0.035522926 0.035492612 0.03534968 0.034903612 0.037904395 0.0378644 0.037050761 0.038391599 0.041187258
Veronella 45.321944 11.325000 92 0.003404255 0.003382187 0.003332408 0.004897959 0.00485306 0.004744333 0.004618938 0.004561581 0.00447205 0.00287977 0.003282532 0.003128492 0.003030303 0.002972399 0.002934395
Vestenanova 45.575278 11.227222 93 0.040964778 0.041033435 0.048892284 0.040730872 0.040839695 0.037176117 0.036954087 0.036898994 0.036857781 0.016424039 0.030780781 0.018621974 0.01867065 0.018677624 0.018839488
Vigasio 45.317500 10.941667 94 0 0 0 0 0 0 0 0.000541052 0 0.023733399 0.023504771 0.022696629 0.022724778 0.021932613 0.021591739
VillaBartolomea 45.158889 11.352222 95 0 0 0 0 0 0.002225107 0.002213205 0.002181818 0.002154785 0.004990198 0.004347826 0.008614748 0.041289882 0.041191489 0.041191489
VillafrancadiVerona 45.353333 10.846389 96 0.00730031 0.0072112 0.007071648 0.011739339 0.01166627 0.011613937 0.012548167 0.01362996 0.012309382 0.016046867 0.044479248 0.050080227 0.049078075 0.050729233 0.051580499
Zevio 45.377222 11.136389 97 0 0 0 0 0.000496524 0.000485555 0.000627845 0.000612792 0.000603 0.003189674 0.00390512 0.006802721 0.008791515 0.008332186 0.00820339
Zimella 45.365278 11.341389 98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Agugliaro 45.32555556 11.58722222 99 0.012708499 0.015898251 0.015873016 0.015847861 0.01601281 0.020242915 0.019888624 0.01065449 0.018853695 0.02 0.01988218 0.019636364 0.018452803 0.023305085 0.024011299
Albettone 45.35861111 11.58555556 100 0.00657562 0.006513026 0.006552419 0.006513026 0.006493506 0.007334963 0.007320644 0.004844961 0.007201152 0.007098912 0.007022472 0.006944444 0.008395522 0.008555133 0.008559201
Alonte 45.36666667 11.42916667 101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004196643
AltavillaVicentina 45.50944444 11.47138889 102 0.031991974 0.029138928 0.028426833 0.028403114 0.02877472 0.040048915 0.038487905 0.035983421 0.036191178 0.036190476 0.035584346 0.036308492 0.037458021 0.036162988 0.036100176
Altissimo 45.61583333 11.25111111 103 0.004791567 0 0 0.004464286 0.004415011 0.007324429 0.009429919 0.00957771 0.009318086 0.011538462 0.011445528 0.013281919 0.017787419 0.012543253 0.012554113
Arcugnano 45.4975 11.5525 104 0.014703698 0.021631102 0.021405843 0.023568062 0.024002272 0.026675881 0.027618266 0.025402314 0.026589443 0.031920393 0.033449567 0.032151059 0.033231862 0.033396108 0.03512293
Arsiero 45.80416667 11.35166667 105 0.022079117 0.022775585 0.028794241 0.028545941 0.028596962 0.03803066 0.041606052 0.037510904 0.041837332 0.040899796 0.040501166 0.0499114 0.046185936 0.046644598 0.046757164
Arzignano 45.52166667 11.33388889 106 0.004395013 0.004346283 0.004292033 0.004231251 0.004238571 0.004296365 0.004887064 0.003674541 0.004732928 0.004651896 0.004640554 0.005172481 0.005382798 0.00510635 0.005101062
Asiago 45.87555556 11.50916667 107 1.332834928 1.32013152 1.328302451 1.317467445 1.377341111 1.338389201 1.282008747 1.309588627 1.295094455 5.827022901 0.753782669 0.756947643 0.770653514 0.896222051 0.906865764
AsiglianoVeneto 45.305 11.44666667 108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BarbaranoVicentino 45.41166667 11.54083333 109 0.004484305 0.007475083 0.007305195 0.007124011 0.006809584 0.006096074 0.005989459 0.005918561 0.005838393 0.015151515 0.015642711 0.015453527 0.01590106 0.016079965 0.016024253
BassanodelGrappa 45.76638889 11.73694444 110 0.018700315 0.013256152 0.014109524 0.014008246 0.015643803 0.016607964 0.018521219 0.018106917 0.018055161 0.023158793 0.025726885 0.02610194 0.02613042 0.025907212 0.025917284
BolzanoVicentino 45.60361111 11.62333333 111 0.005099959 0.004989024 0.005550239 0.005426647 0.024283367 0.024689165 0.024019354 0.023306506 0.022884425 0.031436402 0.032026769 0.03074762 0.02953456 0.02937106 0.029089248
Breganze 45.70888889 11.56305556 112 0.004226096 0.004185195 0.004153147 0.004125306 0.004055253 0.002494077 0.002439917 0.003247144 0.002388915 0.014013189 0.003372485 0.003560354 0.004914286 0.005716246 0.006850097
Brendola 45.4725 11.46027778 113 0.004768392 0.004730529 0 0 0.002417016 0.002400768 0.002365184 0.004801735 0.00232378 0.005382131 0.006202723 0.007227827 0.007820725 0.007141794 0.00708278
Bressanvido 45.645 11.63305556 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Brogliano 45.58972222 11.36555556 115 0.018615041 0.018188432 0.017667845 0.01865285 0.018311292 0.015873016 0.015311005 0.014837713 0.014184397 0.016585645 0.016178522 0.015658747 0.015343915 0.015080603 0.014750763
Caldogno 45.61194444 11.50194444 116 0.005702648 0.005621926 0.004910312 0.010725991 0.005827736 0.005698281 0.005620654 0.005566038 0.005526932 0.00575406 0.007076555 0.006223505 0.006126254 0.006111062 0.006072874
Caltrano 45.77055556 11.465 117 0 0 0 0 0 0 0 0 0 0 0 0.001871257 0.001880406 0.001896813 0.001895375
Calvene 45.76611111 11.51222222 118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CamisanoVicentino 45.52416667 11.71416667 119 0.001898494 0.002108919 0.002058361 0.00203666 0.002000706 0.002891511 0.000896158 0.00086966 0.000844951 0.001470588 0.001403227 0.001354227 0.00152949 0.001893222 0.002305254
CampigliadeiBerici 45.33833333 11.54055556 120 0 0 0 0 0 0 0 0 0 0.005714286 0.00565931 0.005675369 0.005595971 0.005611672 0.005555556
CampolongosulBrenta 45.82944444 11.69972222 121 0.029411765 0.046341463 0.045292014 0.045783133 0.062052506 0.044970414 0.054309327 0.054567023 0.05443787 0.110846246 0.112727273 0.149635036 0.148730351 0.155609168 0.154676259
Carrè 45.74972222 11.46 122 0.01378405 0.018667525 0.018724215 0.018311608 0.018053856 0.016291469 0.017657446 0.012044653 0.017216643 0.012542759 0.01459854 0.014424411 0.014196014 0.014188267 0.014199891
Cartigliano 45.71472222 11.69833333 123 0.002033701 0.002020202 0.001998858 0.001976843 0.003108223 0.002814523 0.002803476 0.001675978 0.002770083 0 0.002427839 0.003163723 0.003898129 0.003916449 0.003895092
Cassola 45.73305556 11.79361111 124 0.009999153 0.009328515 0.009146341 0.008957392 0.009464228 0.00893557 0.008753071 0.010123905 0.008523364 0.010855919 0.010964912 0.010492275 0.00837414 0.008251171 0.020047334
Castegnero 45.43888889 11.6 125 0 0.009632224 0.009417808 0.009046053 0.008796481 0.008573655 0.008345979 0.008227375 0.008112094 0.008017493 0.008085263 0.013788099 0.013683831 0.013366163 0.013040494
Castelgomberto 45.58611111 11.395 126 0 0 0 0 0 0 0.00174125 0.001713209 0.001677571 0.00165426 0.00163212 0.001624168 0.001614726 0.001940178 0.001943949
Chiampo 45.54583333 11.27916667 127 0.00539538 0.005369128 0.011788145 0.011653673 0.011679553 0.011381983 0.009540608 0.007870886 0.009451195 0.008158416 0.012034838 0.012429644 0.012255662 0.012899737 0.012917527
Chiuppano 45.76416667 11.46472222 128 0 0 0 0 0 0 0 0 0 0.037571157 0.003425961 0.003425961 0.003428571 0.00341556 0.003403933
CismondelGrappa 45.92055556 11.73305556 129 0.081998115 0.10754717 0.106941839 0.10754717 0.10754717 0.101629914 0.114446529 0.106203008 0.116858238 0.122586873 0.146859903 0.137730359 0.122266402 0.12602459 0.12746114
CogollodelCengio 45.78944444 11.42083333 130 0.013867488 0.005799756 0.005754088 0.00598444 0.005997001 0.005853088 0.005817336 0.005785363 0.005803831 0.005793743 0.007497116 0.007479862 0.007553748 0.007571345 0.007591241
Conco 45.80166667 11.60916667 131 0.244139761 0.234126984 0.221052632 0.239319965 0.219523167 0.219030521 0.184836249 0.162666667 0.18294849 0.16357206 0.165709236 0.143878463 0.148479428 0.170454545 0.178587494
CornedoVicentino 45.61444444 11.345 132 0.001393867 0.002946376 0.002899391 0.002844411 0.002828854 0.002770083 0.004706734 0.00454784 0.004483532 0.004965328 0.005253347 0.005200906 0.005180914 0.005148646 0.005147791
Costabissara 45.58416667 11.48305556 133 0.004404478 0.004312668 0.00443892 0.008416623 0.008424008 0.008277289 0.010202347 0.00993542 0.009640103 0.009495173 0.025818073 0.025949274 0.026925846 0.0256626 0.025158097
Creazzo 45.53638889 11.47416667 134 0.002170481 0.003066574 0.003054789 0.002365697 0.002295552 0.002259036 0.002693165 0.000461127 0.002667403 0.036488971 0.03566902 0.035636758 0.036665173 0.035793785 0.036510067
Crespadoro 45.62083333 11.22611111 135 0.164739884 0.158885017 0.14019337 0.139614856 0.137907609 0.161184211 0.136481242 0.133291219 0.135778636 0.078776042 0.141815772 0.095301125 0.09442623 0.093253968 0.08847185
Dueville 45.63638889 11.54972222 136 0.003094992 0.002276474 0.002256107 0.002237827 0.002216448 0.002351513 0.002318277 0.002282769 0.002283105 0.002267408 0.002454165 0.00300838 0.00299124 0.002986136 0.003341628
Enego 45.94166667 11.70694444 137 0.817619048 0.797498797 0.782226563 0.782226563 0.79346211 0.798206278 0.812785388 0.837244898 0.826625387 0.829753798 0.478556485 0.444616977 0.444151739 0.469551282 0.485278081
FaraVicentino 45.74305556 11.5475 138 0 0 0.002644104 0.002630887 0.00895208 0.008810573 0.009773663 0.010485934 0.009731114 0.013404148 0.010343088 0.01302279 0.013078471 0.016758379 0.023689516
Foza 45.8975 11.63027778 139 0.374680307 0.376606684 0.385714286 0.38976378 0.405737705 0.407967033 0.407407407 0.418381344 0.406849315 0.381991814 0.203208556 0.204301075 0.20624152 0.203856749 0.203017833
