Comune Provincia Codice Latitudine Longitudine 97ALB 97ALBPL 97CMP 97CMPPL 98ALB 98ALBPL P8CMP 98CMPPL 99ALB 99ALBPL 99CMP 99CMPPL 00ALB 00ALBPL 00CMP 00CMPPL 01ALB 01ALBPL 01CMP 01CMPPL 02ALB 02ALBPL 02CMP 02CMPPL 03ALB 03ALBPL 03CMP 03CMPPL 04ALB 04ALBPL 04CMP 04CMPPL 05ALB 05ALBPL 05CMP 05CMPPL 06ALB 06ALBPL 06CMP 06CMPPL 07ALB 07ALBPL 07CMP 07CMPPL 08ALB 08ALBPL 08CMP 08CMPPL 09ALB 09ALBPL 09CMP 09CMPPL 10ALB 10ALBPL 10CMP 10CMPPL
Brenzone VR 14 45.708611 10.767778 44 1997 23 2416 48 2101 20 2455 47 2074 20 2310 48 2175 18 2277 47 2131 20 2325 44 2035 22 2387 43 2076 17 1990 43 2140 17 2177 43 2076 17 1990 42 2031 27 2586 48 2027 90 2406 50 2124 83 2399 41 2223 91 2261 42 2242 93 2308
Bussolengo VR 15 45.473889 10.851944 11 997 0 0 10 1192 0 0 11 1216 0 0 11 1216 0 0 10 1235 0 0 8 1214 0 0 7 1195 0 0 9 1253 1 6 7 1195 1 6 8 1214 3 25 12 1209 9 53 11 1178 104 220 8 1178 111 250 8 1178 111 265
Buttapietra VR 16 45.343333 11.000000 2 46 0 0 2 66 0 0 2 66 0 0 2 66 0 0 2 66 0 0 2 66 0 0 2 46 0 0 2 46 1 3 2 46 1 3 2 46 1 3 2 46 2 8 2 46 0 0 2 46 1 3 2 46 2 6
Caldiero VR 17 45.411111 11.184722 2 109 0 0 2 109 0 0 2 133 0 0 2 133 0 0 2 133 0 0 2 133 0 0 2 133 0 0 2 133 1 18 2 133 0 0 2 128 1 18 3 136 2 24 3 136 2 20 2 119 2 20 2 119 3 32
CaprinoVeronese VR 18 45.606944 10.796389 16 433 2 20 16 450 2 22 16 450 2 15 17 520 2 15 16 477 3 21 17 493 2 15 16 468 2 20 17 493 5 29 16 468 3 26 12 380 5 36 15 446 21 200 14 401 11 142 11 352 15 201 11 342 17 205
Casaleone VR 19 45.172500 11.196944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0
Castagnaro VR 20 45.120278 11.409722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Casteld'Azzano VR 21 45.357222 10.958611 1 151 0 0 1 171 0 0 1 171 0 0 1 196 0 0 1 196 0 0 1 196 0 0 1 196 0 0 1 196 0 0 1 196 0 0 2 327 0 0 2 327 1 6 2 327 0 0 2 327 0 0 2 327 0 0
CastelnuovodelGarda VR 22 45.442222 10.761944 13 384 7 6937 12 378 4 7390 12 380 8 7636 13 474 10 7636 13 474 10 7633 11 409 11 7637 11 409 12 8353 13 1003 14 8387 11 409 12 8353 12 1268 13 8717 19 1759 29 5580 20 1857 35 7661 15 1945 40 8783 15 1945 30 8847
CavaionVeronese VR 23 45.542500 10.770556 5 113 6 62 4 104 6 62 7 313 6 62 7 313 7 68 7 313 7 69 7 297 7 74 4 228 7 80 3 212 6 65 4 228 9 92 4 246 6 64 6 315 27 175 6 278 18 116 5 278 109 347 6 302 18 120
CazzanodiTramigna VR 24 45.475000 11.205278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 0 2 13 0 0 1 9 0 0 4 47 0 0 4 47
Cerea VR 25 45.196389 11.211944 3 67 0 0 3 67 0 0 3 67 0 0 3 67 0 0 2 51 0 0 2 51 0 0 2 51 0 0 2 51 0 0 2 51 0 0 2 51 0 0 2 51 1 6 2 56 1 6 2 56 2 17 2 56 2 17
CerroVeronese VR 26 45.575278 11.041944 4 149 0 0 3 89 0 0 3 89 0 0 3 128 126 399 3 128 142 487 3 128 49 182 3 128 49 182 2 65 49 182 3 128 49 182 1 53 81 410 1 50 74 259 1 50 71 248 1 50 71 250 2 113 95 325
ColognaVeneta VR 27 45.310833 11.383056 2 34 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 41 0 0 2 41 0 0 2 41 0 0 2 41 0 0 2 41 0 0 2 42 0 0 2 42 0 0 2 42 0 0 2 42 0 0 2 42 0 0
ColognolaaiColli VR 28 45.434167 11.192500 2 40 0 0 2 40 0 0 2 40 0 0 2 40 0 0 2 40 0 0 2 40 0 0 2 40 0 0 1 22 1 6 2 40 2 10 1 22 0 0 2 35 2 10 2 35 4 11 2 35 4 11 2 38 4 11
Concamarise VR 29 45.208889 11.139444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 8 0 0 1 8 0 0 1 8 0 0 1 8
Costermano VR 30 45.588889 10.743333 8 481 9 612 8 540 9 612 9 586 8 560 9 586 9 568 9 592 10 585 9 605 10 685 9 650 9 661 9 753 10 671 9 650 9 661 9 753 11 758 13 768 106 829 13 768 104 834 11 706 166 760 11 706 167 767
Dolcè VR 31 45.601111 10.853333 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 42 0 0 2 42 0 0 2 42 0 0 2 42 0 0 2 42 0 0 2 42 0 0 1 18 1 6 1 18 1 6 1 18 5 22 1 18 8 48
Erbè VR 32 45.240833 10.970000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 1 6 0 0 1 6 0 0 1 6 0 0 1 6 0 0 1 6 0 0 2 16 0 0 1 6
Erbezzo VR 33 45.641111 11.001111 2 49 3 133 2 49 2 108 1 15 2 108 1 15 43 308 1 23 46 318 1 23 42 304 1 23 42 304 1 23 40 196 1 23 43 308 1 23 43 212 1 23 7 126 1 23 5 21 1 23 5 21 1 22 35 105
FerraradiMonteBaldo VR 34 45.677778 10.854722 4 215 4 36 4 215 4 96 4 215 4 96 4 215 4 96 4 215 4 96 4 215 4 96 4 207 3 66 4 207 3 66 4 207 3 66 5 237 0 0 5 200 4 69 5 209 3 39 5 209 4 69 5 209 3 63
Fumane VR 35 45.544444 10.883611 3 87 4 38 3 87 5 46 3 87 5 46 3 87 5 56 3 87 6 59 3 87 6 56 3 87 9 147 2 51 8 139 3 87 10 150 4 102 13 204 3 73 16 216 3 73 12 194 3 75 13 200 3 60 10 190
Garda VR 36 45.576667 10.708611 57 4090 33 1419 57 4131 33 1419 57 4056 33 1287 57 4037 34 1396 57 4046 36 1388 55 3987 37 1421 52 3909 33 1367 51 3924 21 1066 52 3909 33 1367 52 3942 29 1134 53 3788 257 1299 54 3829 240 1101 48 3846 215 1053 48 3835 211 1038
GazzoVeronese VR 37 45.143056 11.104444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 18 0 0 1 18 0 0 1 18 0 0 1 18 0 0 0 0 0 0 1 18 0 0 1 18 0 0 1 18 0 0 2 32
Grezzana VR 38 45.520833 11.018333 3 75 2 112 3 75 2 112 2 64 3 115 2 64 7 147 2 64 9 196 2 64 6 180 2 85 6 260 2 85 12 285 2 85 10 280 2 102 12 167 2 102 14 284 2 102 6 133 2 102 6 133 2 102 4 82
Illasi VR 39 45.469444 11.181667 0 0 0 0 0 0 0 0 0 0 1 8 0 0 1 8 0 0 3 30 0 0 2 26 0 0 3 37 1 14 6 23 0 0 4 41 1 60 2 12 1 60 3 21 1 61 1 8 1 61 1 23 1 61 1 23
IsoladellaScala VR 40 45.273611 11.006389 4 66 0 0 4 66 0 0 4 66 1 6 4 62 2 13 4 62 1 7 4 72 2 13 4 72 1 7 4 72 1 7 4 72 1 7 4 72 0 0 5 75 3 37 4 67 3 37 4 67 4 49 4 67 5 71
IsolaRizza VR 41 45.292500 11.199722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lavagno VR 42 45.442500 11.131944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 0 1 5 0 0 2 9 0 0 7 27 0 0 2 6 0 0 2 6 0 0 0 0
Lazise VR 43 45.506667 10.734444 36 1243 41 20041 36 1224 44 20237 38 1338 76 20339 39 1375 77 20539 40 1431 77 20530 38 1386 86 20742 36 1350 87 24305 38 1418 84 24229 36 1350 89 24317 37 1352 97 21132 44 1573 250 19461 45 1627 258 24453 39 1832 280 25705 41 2473 211 25770
Legnago VR 44 45.193333 11.310833 4 217 2 13 4 217 2 13 4 217 2 13 4 217 2 17 4 217 2 17 4 217 2 17 4 217 3 23 4 282 3 18 4 217 4 29 4 282 5 49 4 283 7 70 3 223 6 58 3 223 7 68 3 223 7 82
Malcesine VR 45 45.763611 10.809722 109 5080 80 3348 108 5079 64 3097 108 5089 64 3116 106 5043 129 3448 106 5134 133 3461 104 5017 127 3443 101 4953 104 3567 102 5035 83 3422 101 4953 107 3580 102 5025 95 3549 116 4598 403 3946 117 5208 388 3923 99 5110 439 4003 98 5079 425 3953
MaranodiValpolicella VR 46 45.558056 10.917778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 3 12 0 0 4 22 0 0 1 10 0 0 1 10 0 0 3 28
MezzanediSotto VR 47 45.483333 11.127778 0 0 0 0 0 0 1 11 0 0 1 11 0 0 1 11 0 0 1 11 0 0 1 11 0 0 1 11 0 0 1 8 0 0 1 11 0 0 2 10 0 0 3 22 0 0 3 22 0 0 8 41 0 0 7 39
Minerbe VR 48 45.241389 11.339167 1 12 1 7 1 12 0 0 1 12 0 0 1 13 0 0 1 13 0 0 1 13 0 0 1 13 1 7 0 0 1 7 1 13 1 7 0 0 0 0 0 0 2 14 0 0 1 7 0 0 1 7 0 0 1 7
MontecchiadiCrosara VR 49 45.486389 11.254444 1 19 0 0 1 19 0 0 1 19 0 0 1 19 0 0 1 19 0 0 1 19 0 0 1 19 0 0 1 17 0 0 1 19 0 0 1 17 0 0 1 17 1 8 1 17 0 0 1 18 0 0 1 18 0 0
Monteforted'Alpone VR 50 45.423333 11.286389 0 0 2 12 0 0 2 12 0 0 2 12 0 0 2 12 0 0 2 12 0 0 2 13 0 0 3 18 0 0 4 26 0 0 5 32 0 0 5 34 0 0 5 35 0 0 2 18 0 0 4 39 0 0 3 32
Mozzecane VR 51 45.309722 10.818333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 14 1 10 0 0 0 0 0 0 2 12 0 0 5 34 0 0 5 32 0 0 5 32 0 0 5 32
Negrar VR 52 45.532500 10.938611 5 161 21 51 5 161 21 51 4 329 22 71 4 329 25 101 4 329 4 38 4 329 4 66 4 329 5 82 4 329 11 113 4 329 9 99 4 327 20 180 5 339 60 284 5 337 52 197 4 337 54 207 4 337 54 205
Nogara VR 53 45.179722 11.061667 4 70 0 0 4 70 0 0 4 70 0 0 4 70 0 0 4 70 0 0 4 97 0 0 4 97 0 0 4 97 0 0 4 97 0 0 3 79 0 0 3 110 0 0 3 110 0 0 3 110 1 9 3 110 1 9
NogaroleRocca VR 54 45.293611 10.880000 3 105 0 0 3 105 0 0 3 105 0 0 3 105 0 0 3 105 0 0 3 105 0 0 3 105 3 10 4 115 3 10 3 105 3 10 4 117 3 32 4 184 7 66 3 174 5 59 3 207 5 59 4 252 8 73
Oppeano VR 55 45.307778 11.181389 0 0 0 0 0 0 0 0 0 0 0 0 1 84 0 0 1 84 0 0 1 84 0 0 1 84 0 0 2 106 0 0 1 84 0 0 2 106 0 0 2 106 0 0 2 106 0 0 3 126 1 12 3 126 2 28
Palù VR 56 45.325556 11.154444 1 18 0 0 1 18 0 0 1 18 0 0 1 18 0 0 1 18 0 0 1 18 0 0 1 18 0 0 1 14 0 0 1 18 0 0 1 18 0 0 1 14 0 0 1 14 0 0 1 20 0 0 1 18 0 0
Pastrengo VR 57 45.492778 10.802778 2 56 0 0 2 56 0 0 2 56 0 0 2 56 0 0 2 61 0 0 2 61 0 0 1 32 0 0 1 32 2 12 1 32 1 6 1 32 2 12 2 145 12 57 2 147 9 44 1 147 13 71 1 147 17 83
Pescantina VR 58 45.484167 10.868333 3 151 0 0 3 151 0 0 3 151 0 0 3 151 0 0 3 155 0 0 4 203 0 0 4 203 2 16 4 202 2 16 4 203 2 16 3 164 6 50 4 202 14 83 4 202 10 62 2 174 11 73 2 174 12 79
PeschieradelGarda VR 59 45.438889 10.694722 45 1637 21 7725 44 1648 23 9316 45 1687 23 9336 47 1780 23 9304 48 1853 22 9269 44 1751 30 9352 41 1661 27 8890 41 1834 28 8853 41 1661 30 8906 38 1825 40 8681 44 1982 227 13825 47 2183 291 13164 43 2147 176 12941 46 2335 182 13055
PoveglianoVeronese VR 60 45.347222 10.882222 1 11 1 4 1 11 1 4 1 11 1 4 1 11 1 4 1 19 2 9 1 19 3 19 1 19 3 19 1 19 3 19 1 19 3 19 1 19 3 19 1 19 4 21 1 19 2 15 1 19 3 21 1 19 3 21
Pressana VR 61 45.285833 11.402222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RivoliVeronese VR 62 45.572500 10.813333 0 0 2 18 0 0 2 18 0 0 2 18 0 0 3 42 0 0 3 42 0 0 3 42 0 0 2 18 0 0 2 18 0 0 2 18 0 0 1 4 0 0 20 78 0 0 17 67 0 0 19 83 0 0 18 71
Roncà VR 63 45.481389 11.291667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 14 0 0 2 14
Roncoall'Adige VR 64 45.336944 11.248056 1 10 0 0 1 10 0 0 1 10 0 0 1 26 0 0 2 36 0 0 2 36 0 0 2 48 1 6 2 48 1 6 2 48 1 6 1 22 1 6 2 48 1 6 2 48 1 6 1 48 1 6 1 48 1 6
Roverchiara VR 65 45.273056 11.248333 1 12 2 19 1 10 2 19 1 10 2 19 1 10 2 19 1 21 2 19 1 21 2 19 1 21 2 14 1 21 2 14 1 21 2 14 1 21 1 8 2 31 2 14 1 21 2 14 1 16 3 44 1 16 3 44
RoveredodiGuà VR 66 45.274167 11.443333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RoverèVeronese VR 67 45.594167 11.066389 9 176 3 279 7 127 3 279 7 127 4 295 7 129 37 452 7 129 37 452 6 115 34 435 6 115 34 452 5 100 34 452 6 115 34 452 4 74 37 449 4 74 7 304 4 75 7 304 4 75 7 304 4 73 36 284
Salizzole VR 68 45.243889 11.084722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 18 0 0 8 18 0 0 9 48 0 0 9 48
SanBonifacio VR 69 45.396944 11.271389 7 217 0 0 7 236 0 0 8 260 0 0 8 280 0 0 9 304 0 0 9 306 0 0 9 306 1 8 9 305 3 29 9 306 2 15 9 305 6 49 11 351 18 47 9 299 15 34 7 289 15 34 7 288 15 34
SanGiovanniIlarione VR 70 45.525556 11.237222 1 18 1 5 1 18 1 5 1 18 1 5 1 18 1 5 1 18 1 5 1 18 1 5 1 18 1 5 1 18 2 6 1 18 1 5 1 15 1 5 1 15 3 11 1 15 3 11 1 15 3 11 1 15 3 11
SanGiovanniLupatoto VR 71 45.384444 11.045556 5 130 1 8 5 130 1 8 5 130 1 8 5 130 1 8 6 536 1 8 6 552 1 8 6 552 1 8 6 552 1 8 6 552 1 8 6 552 0 0 6 580 4 29 5 558 2 20 6 574 3 30 6 574 2 18
Sanguinetto VR 72 45.182500 11.151667 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0 2 37 0 0
SanMartinoBuonAlbergo VR 73 45.423611 11.094722 2 326 1 9 2 326 1 9 2 328 1 9 2 328 1 9 2 328 1 9 3 336 1 9 4 362 2 38 3 354 4 52 4 362 3 44 3 410 1 6 3 410 8 66 3 410 4 48 3 410 8 148 3 414 7 144
SanMaurodiSaline VR 74 45.566667 11.113611 3 77 0 0 3 77 0 0 3 77 0 0 3 77 1 8 3 77 2 97 3 77 1 89 3 66 1 89 3 66 1 89 3 66 1 89 11 61 51 289 1 15 0 0 1 15 8 25 1 15 9 31 1 15 24 91
SanPietrodiMorubio VR 75 45.243889 11.228611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0
SanPietroinCariano VR 76 45.515556 10.879167 6 248 0 0 6 248 0 0 6 248 1 13 6 248 2 25 6 248 3 28 6 255 2 25 6 255 2 25 6 255 6 45 6 255 5 40 9 359 8 55 8 341 13 80 8 341 6 62 8 385 8 98 8 385 8 113
Sant'AmbrogiodiValpolicella VR 77 45.525000 10.838333 3 72 9 28 3 72 9 38 3 72 9 38 3 72 9 38 3 72 10 49 3 72 10 49 3 72 10 49 3 72 13 59 3 72 10 49 3 72 15 81 3 72 18 92 3 92 14 69 3 90 16 81 3 90 15 77
Sant'Annad'Alfaedo VR 78 45.628333 10.952500 6 162 7 176 6 162 7 176 6 162 7 176 6 162 60 407 6 162 59 403 5 144 46 266 5 144 46 266 5 143 46 266 5 144 46 266 5 143 50 243 5 143 17 118 5 143 13 52 4 136 17 69 4 136 104 362
SanZenodiMontagna VR 79 45.640000 10.733333 26 1113 3 482 26 1248 3 482 26 1248 3 482 25 1282 67 938 25 1271 88 1117 26 1320 89 1125 24 1279 75 1095 23 1261 67 948 24 1279 75 1095 20 1141 48 799 23 1351 163 1085 24 1453 147 903 20 1400 148 1055 20 1392 153 1111
SelvadiProgno VR 80 45.612500 11.139722 6 121 7 396 6 121 7 396 6 121 7 396 6 121 7 396 5 105 8 401 5 105 7 396 5 105 7 396 5 109 9 402 5 105 8 401 3 77 3 140 2 25 4 231 2 25 0 0 1 12 2 16 2 67 1 4
Soave VR 81 45.423056 11.248889 4 178 0 0 4 178 0 0 5 242 3 21 5 242 3 21 5 242 5 27 5 242 5 36 5 242 5 36 5 242 7 52 5 242 7 46 5 237 10 58 4 214 18 115 4 214 12 82 4 214 17 119 4 214 16 123
Sommacampagna VR 82 45.408056 10.845556 4 308 1 12 4 308 1 12 4 311 2 17 4 311 2 16 4 311 2 16 4 311 2 16 4 311 2 16 4 333 5 41 4 311 4 25 4 333 8 87 4 331 24 154 4 331 22 147 4 331 26 206 4 331 27 218
Sona VR 83 45.434444 10.833611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 148 1 2 1 148 1 12 1 148 1 12 2 161 3 20 1 148 2 14 2 157 5 60 2 157 16 117 2 157 11 135 2 157 13 201 2 157 16 243
Sorgà VR 84 45.213889 10.979444 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 16 0 0 1 6 0 0 1 5 0 0 1 5 0 0 3 21 0 0 7 32
Terrazzo VR 85 45.175278 11.398056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
TorridelBenaco VR 86 45.610278 10.687500 43 2004 18 1726 38 1784 18 1727 42 2004 19 1727 52 2264 21 1895 43 2043 21 2059 43 2058 22 2081 41 2025 20 2057 36 1904 19 2041 41 2025 20 2057 36 1909 22 2004 42 1701 147 1959 43 1738 131 1854 33 1638 136 1815 33 1653 124 1775
Tregnago VR 87 45.515000 11.167222 2 29 1 5 1 10 1 5 2 30 1 5 2 30 2 10 2 30 2 10 1 20 1 5 1 20 1 5 0 0 2 9 1 20 1 5 1 18 3 27 3 44 4 31 3 44 2 23 2 44 3 26 2 44 2 34
Trevenzuolo VR 88 45.269722 10.933611 1 14 1 5 1 14 1 5 1 14 1 5 1 14 1 5 1 14 1 5 1 14 1 5 1 14 1 5 1 14 2 9 1 14 1 5 1 14 1 5 1 14 3 11 1 14 3 14 1 14 3 14 1 14 3 14
ValeggiosulMincio VR 89 45.354722 10.736667 11 365 4 361 11 372 5 374 11 382 5 374 13 424 5 374 13 424 6 380 11 323 8 398 11 323 7 389 9 276 7 368 11 323 8 395 8 249 12 434 14 419 46 933 13 355 42 970 10 355 48 1829 10 355 49 1849
VeloVeronese VR 90 45.606111 11.096111 1 20 6 508 1 20 4 448 1 20 4 448 1 20 29 718 1 20 29 718 1 20 29 718 1 20 29 718 1 20 29 718 1 20 29 718 1 20 28 668 1 20 4 341 1 20 4 341 1 25 6 349 1 25 35 431
Verona VR 91 45.444444 10.998889 66 5354 41 2372 66 5514 41 2317 68 5715 50 2388 68 5757 65 2826 68 5795 81 3050 71 6045 57 3032 69 5892 71 3105 70 5886 149 3309 69 5892 107 3277 67 5644 179 3456 69 5660 422 4354 69 5479 284 3819 63 5473 294 3309 63 5512 304 3511
Veronella VR 92 45.321944 11.325000 1 12 0 0 1 12 0 0 1 12 0 0 1 12 1 6 1 12 1 6 1 12 0 0 1 12 0 0 1 12 1 6 1 12 1 6 1 12 0 0 0 0 2 14 0 0 1 8 0 0 1 8 0 0 1 8
Vestenanova VR 93 45.575278 11.227222 4 89 1 8 4 90 1 8 4 90 2 28 3 79 2 28 3 79 2 28 3 79 1 20 3 79 1 20 3 79 1 20 3 79 1 20 2 44 0 0 3 60 2 22 2 44 1 6 2 44 1 6 2 44 1 6
Vigasio VR 94 45.317500 10.941667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 1 189 1 4 1 189 2 13 1 189 1 7 1 189 1 7 1 189 1 7
VillaBartolomea VR 95 45.158889 11.352222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 0 1 12 0 0 1 12 0 0 1 12 0 0 2 28 0 0 4 25 0 0 5 50 1 174 6 68 1 174 6 68
VillafrancadiVerona VR 96 45.353333 10.846389 5 182 1 23 5 182 1 23 5 182 1 23 7 320 1 23 7 320 1 23 7 320 1 23 7 320 2 54 7 355 4 61 7 320 4 61 6 421 7 83 14 1257 24 163 14 1437 18 138 12 1437 9 116 13 1462 11 148
