Comune Latitudine Longitudine Codice
MontorsoVicentino 45.49027778 11.36277778 166
Mossano 45.42083333 11.55527778 167
Mussolente 45.78416667 11.80361111 168
Nanto 45.42527778 11.59361111 169
NogaroleVicentino 45.56055556 11.28833333 170
Nove 45.72666667 11.67916667 171
NoventaVicentina 45.29138889 11.54 172
Orgiano 45.35222222 11.46638889 173
Pedemonte 45.91027778 11.30972222 174
Pianezze 45.74166667 11.6275 175
PioveneRocchette 45.76166667 11.43055556 176
PoianaMaggiore 45.29055556 11.50138889 177
Posina 45.79222222 11.26194444 178
PovedelGrappa 45.80166667 11.72888889 179
Pozzoleone 45.64972222 11.68 180
QuintoVicentino 45.57416667 11.62611111 181
RecoaroTerme 45.70638889 11.225 182
Roana 45.86555556 11.47416667 183
Romanod'Ezzelino 45.78 11.77083333 184
Rosà 45.72444444 11.76472222 185
RossanoVeneto 45.70694444 11.80333333 186
Rotzo 45.86583333 11.40138889 187
Salcedo 45.76027778 11.565 188
Sandrigo 45.66166667 11.60361111 189
SanGermanodeiBerici 45.40222222 11.47666667 190
SanNazario 45.84194444 11.69 191
SanPietroMussolino 45.58861111 11.25777778 192
Santorso 45.73916667 11.39027778 193
SanVitodiLeguzzano 45.68333333 11.37638889 194
Sarcedo 45.70944444 11.52722222 195
Sarego 45.40777778 11.4075 196
Schiavon 45.69861111 11.64472222 197
Schio 45.71527778 11.36166667 198
Solagna 45.81527778 11.72138889 199
Sossano 45.35888889 11.50972222 200
Sovizzo 45.52944444 11.4475 201
TezzesulBrenta 45.685 11.70361111 202
Thiene 45.70888889 11.47805556 203
TonezzadelCimone 45.85833333 11.34611111 204
Torrebelvicino 45.71888889 11.31138889 205
TorridiQuartesolo 45.52138889 11.61694444 206
Trissino 45.56888889 11.36972222 207
Valdagno 45.64722222 11.3 208
Valdastico 45.88583333 11.36361111 209
VallidelPasubio 45.74111111 11.26111111 210
Valstagna 45.86166667 11.65666667 211
Velod'Astico 45.78972222 11.36666667 212
Vicenza 45.54972222 11.54861111 213
Villaga 45.40388889 11.53361111 214
Villaverla 45.65194444 11.49166667 215
Zanè 45.72305556 11.45805556 216
Zermeghedo 45.47694444 11.37 217
Zovencedo 45.42944444 11.50305556 218
Zugliano 45.73583333 11.52111111 219
Agordo 46.282500 12.034167 220
AlanodiPiave 45.909444 11.910278 221
Alleghe 46.408611 12.019722 222
Arsiè 45.983333 11.756667 223
AuronzodiCadore 46.554167 12.437778 224
Belluno 46.141389 12.214444 225
BorcadiCadore 46.438611 12.219444 226
CalalzodiCadore 46.450278 12.380556 227
Castellavazzo 46.287778 12.308611 228
CencenigheAgordino 46.355278 11.968056 229
Cesiomaggiore 46.089167 11.990000 230
Chiesd'Alpago 46.173333 12.387500 231
CibianadiCadore 46.390556 12.285833 232
ColleSantaLucia 46.447778 12.015278 233
ComelicoSuperiore 46.594167 12.513333 234
Cortinad'Ampezzo 46.538889 12.136944 235
DantadiCadore 46.569444 12.520833 236
DomeggediCadore 46.463333 12.416111 237
Falcade 46.356111 11.859722 238
Farrad'Alpago 46.123333 12.357778 239
Feltre 46.022778 11.906389 240
Fonzaso 46.022500 11.798889 241
Canaled'Agordo 46.360556 11.915833 242
FornodiZoldo 46.346389 12.176111 243
Gosaldo 46.222778 11.954167 244
Lamon 46.050833 11.748056 245
LaValleAgordina 46.283056 12.067500 246
Lentiai 46.046667 12.021111 247
Limana 46.100000 12.183611 248
LivinallongodelColdiLana 46.483056 11.955556 249
Longarone 46.270833 12.301111 250
LorenzagodiCadore 46.481389 12.458333 251
LozzodiCadore 46.486389 12.440833 252
Mel 46.061667 12.080278 253
OspitalediCadore 46.332778 12.323611 254
Pedavena 46.045833 11.880833 255
PerarolodiCadore 46.398333 12.356667 256
Pieved'Alpago 46.168611 12.352222 257
PievediCadore 46.432778 12.374722 258
PontenelleAlpi 46.175278 12.302222 259
Puosd'Alpago 46.144167 12.363056 260
Quero 45.922500 11.932222 261
RivamonteAgordino 46.258889 12.026944 262
RoccaPietore 46.435278 11.977778 263
SanGregorionelleAlpi 46.105556 12.024722 264
SanNicolòdiComelico 46.583611 12.526944 265
SanPietrodiCadore 46.573333 12.586667 266
SantaGiustina 46.085833 12.041944 267
SanTomasoAgordino 46.381944 11.975278 268
SantoStefanodiCadore 46.559722 12.550278 269
SanVitodiCadore 46.465556 12.204444 270
Sappada 46.566111 12.678333 271
Sedico 46.111667 12.098333 272
SelvadiCadore 46.452500 12.035278 273
SerendelGrappa 45.989167 11.846389 274
Sospirolo 46.144167 12.074167 275
Soverzene 46.206389 12.303056 276
Sovramonte 46.062500 11.786389 277
TaibonAgordino 46.300556 12.011111 278
Tambre 46.130833 12.423611 279
Trichiana 46.074722 12.131111 280
ValladaAgordina 46.371111 11.931111 281
VallediCadore 46.420556 12.336111 282
Vas 45.940000 11.938333 283
VigodiCadore 46.500278 12.472222 284
VodoCadore 46.420000 12.246667 285
VoltagoAgordino 46.274722 12.005556 286
ZoldoAlto 46.376389 12.127500 287
ZoppèdiCadore 46.388611 12.172222 288
Altivole 45.754444 11.956111 289
Arcade 45.786389 12.219444 290
Asolo 45.804167 11.914167 291
BorsodelGrappa 45.822222 11.800278 292
BredadiPiave 45.724444 12.331389 293
CaeranodiSanMarco 45.787500 12.001944 294
CappellaMaggiore 45.970833 12.362778 295
Carbonera 45.680556 12.286944 296
CasalesulSile 45.599167 12.326667 297
Casier 45.635556 12.258333 298
Castelcucco 45.835556 11.882778 299
CastelfrancoVeneto 45.673056 11.926667 300
CastellodiGodego 45.693889 11.881111 301
CavasodelTomba 45.861111 11.897222 302
Cessalto 45.713333 12.613056 303
Chiarano 45.730278 12.582500 304
Cimadolmo 45.788056 12.363056 305
CisondiValmarino 45.971667 12.142500 306
Codognè 45.868889 12.433611 307
ColleUmberto 45.942500 12.343333 308
Conegliano 45.887222 12.297222 309
Cordignano 45.950833 12.416111 310
Cornuda 45.833056 12.006944 311
CrespanodelGrappa 45.829444 11.839722 312
CrocettadelMontello 45.823889 12.019722 313
FarradiSoligo 45.908056 12.124722 314
Follina 45.955000 12.118889 315
Fontanelle 45.832222 12.468611 316
Fonte 45.786111 11.870556 317
Fregona 46.009722 12.340556 318
Gaiarine 45.879722 12.483611 319
GiaveradelMontello 45.803333 12.168611 320
GodegadiSant'Urbano 45.929722 12.398611 321
GorgoalMonticano 45.788333 12.551667 322
Istrana 45.680278 12.099722 323
Loria 45.731111 11.866111 324
Mansuè 45.823611 12.540833 325
MarenodiPiave 45.847500 12.355000 326
Maser 45.809444 11.977500 327
MaseradasulPiave 45.755556 12.315278 328
MedunadiLivenza 45.807500 12.613611 329
Miane 45.945833 12.095556 330
MoglianoVeneto 45.563056 12.236667 331
MonastierdiTreviso 45.651944 12.434167 332
Monfumo 45.833056 11.921389 333
Montebelluna 45.776667 12.045000 334
Morgano 45.635833 12.083333 335
MoriagodellaBattaglia 45.867222 12.100833 336
MottadiLivenza 45.777222 12.611111 337
NervesadellaBattaglia 45.825833 12.209444 338
Oderzo 45.783333 12.494444 339
Ormelle 45.780556 12.420000 340
Orsago 45.932500 12.422500 341
PadernodelGrappa 45.828056 11.852500 342
Paese 45.673056 12.156667 343
Pederobba 45.859167 11.987222 344
PievediSoligo 45.901111 12.172500 345
PontediPiave 45.717500 12.463611 346
PonzanoVeneto 45.719167 12.209167 347
Portobuffolè 45.854722 12.538611 348
Possagno 45.856667 11.881111 349
Povegliano 45.759722 12.206111 350
Preganziol 45.604444 12.235833 351
QuintodiTreviso 45.646389 12.168056 352
Refrontolo 45.924444 12.206944 353
Resana 45.632500 11.956944 354
RevineLago 45.992778 12.231111 355
RiesePioX 45.730833 11.919722 356
Roncade 45.629722 12.376389 357
Salgareda 45.705278 12.493889 358
SanBiagiodiCallalta 45.684722 12.376944 359
SanFior 45.921389 12.357778 360
SanPietrodiFeletto 45.914167 12.253056 361
SanPolodiPiave 45.792500 12.395833 362
SantaLuciadiPiave 45.851667 12.287222 363
SanVendemiano 45.888611 12.345278 364
SanZenonedegliEzzelini 45.780556 11.840556 365
Sarmede 45.979444 12.385000 366
Segusino 45.916944 11.954444 367
SernagliadellaBattaglia 45.875833 12.133611 368
Silea 45.654444 12.299167 369
Spresiano 45.781111 12.259167 370
Susegana 45.852222 12.250556 371
Tarzo 45.973611 12.233056 372
Trevignano 45.742500 12.086111 373
Treviso 45.666389 12.245278 374
Valdobbiadene 45.902500 11.997222 375
Vazzola 45.838889 12.380278 376
Vedelago 45.687222 12.019722 377
Vidor 45.863333 12.039167 378
Villorba 45.713333 12.260000 379
VittorioVeneto 45.990556 12.296944 380
VolpagodelMontello 45.778333 12.125278 381
ZensondiPiave 45.679167 12.492222 382
ZeroBranco 45.602222 12.168333 383
AnnoneVeneto 45.797500 12.685833 384
CampagnaLupia 45.356944 12.098333 385
CampolongoMaggiore 45.333056 12.050278 386
Camponogara 45.385833 12.074167 387
Caorle 45.602500 12.888333 388
Cavarzere 45.136667 12.083889 389
Ceggia 45.686111 12.637778 390
Chioggia 45.220556 12.279444 391
CintoCaomaggiore 45.826111 12.786667 392
Cona 45.194444 12.041667 393
ConcordiaSagittaria 45.757222 12.845278 394
Dolo 45.425556 12.075556 395
Eraclea 45.578889 12.673056 396
Fiessod'Artico 45.419167 12.033611 397
FossaltadiPiave 45.648611 12.513889 398
FossaltadiPortogruaro 45.792222 12.909167 399
Fossò 45.388333 12.050278 400
Gruaro 45.831389 12.841111 401
Jesolo 45.540000 12.641389 402
Marcon 45.555556 12.299167 403
Martellago 45.548333 12.156667 404
Meolo 45.622500 12.451944 405
Mira 45.435000 12.122500 406
Mirano 45.494722 12.112500 407
MusilediPiave 45.623889 12.565000 408
Noale 45.551944 12.073056 409
NoventadiPiave 45.662778 12.530556 410
Pianiga 45.458056 12.031111 411
Portogruaro 45.777222 12.837222 412
Pramaggiore 45.814444 12.738611 413
Quartod'Altino 45.581944 12.370833 414
Salzano 45.522500 12.106944 415
SanDonàdiPiave 45.633889 12.565278 416
SanMichelealTagliamento 45.767222 12.994722 417
SantaMariadiSala 45.508333 12.036111 418
SantoStinodiLivenza 45.731944 12.681667 419
Scorzè 45.574444 12.109444 420
Spinea 45.491944 12.169444 421
Stra 45.411389 12.009167 422
TeglioVeneto 45.816389 12.886944 423
TorrediMosto 45.691389 12.710833 424
Venezia 45.438056 12.327500 425
Vigonovo 45.389167 12.008889 426
AbanoTerme 45.36166667 11.79083333 427
Agna 45.17222222 11.96166667 428
Albignasego 45.3475 11.86805556 429
AnguillaraVeneta 45.14138889 11.88888889 430
ArquàPetrarca 45.27055556 11.71861111 431
Arre 45.21805556 11.93083333 432
Arzergrande 45.27583333 12.04583333 433
BagnolidiSopra 45.18638889 11.88472222 434
Baone 45.24444444 11.68777778 435
Barbona 45.10833333 11.66222222 436
BattagliaTerme 45.29194444 11.78527778 437
BoaraPisani 45.10861111 11.78277778 438
Borgoricco 45.53138889 11.96638889 439
Bovolenta 45.27111111 11.93944444 440
Brugine 45.29916667 11.99444444 441
Cadoneghe 45.45 11.91027778 442
Campodarsego 45.50305556 11.90861111 443
Campodoro 45.49388889 11.75333333 444
Camposampiero 45.57083333 11.93388889 445
CampoSanMartino 45.54861111 11.81138889 446
Candiana 45.22166667 11.9925 447
Carceri 45.19916667 11.62583333 448
CarmignanodiBrenta 45.63138889 11.71055556 449
Cartura 45.26916667 11.85972222 450
CasalediScodosia 45.18694444 11.46111111 451
Casalserugo 45.31805556 11.91361111 452
Castelbaldo 45.12416667 11.44666667 453
CervareseSantaCroce 45.40305556 11.69444444 454
CintoEuganeo 45.2925 11.66222222 455
Cittadella 45.65027778 11.785 456
Codevigo 45.26888889 12.10166667 457
Conselve 45.23277778 11.87583333 458
Correzzola 45.2375 12.06777778 459
Curtarolo 45.52305556 11.83305556 460
Este 45.22805556 11.65333333 461
Fontaniva 45.63805556 11.75694444 462
GallieraVeneta 45.66388889 11.82972222 463
GalzignanoTerme 45.31055556 11.72888889 464
Gazzo 45.58222222 11.7075 465
Grantorto 45.60194444 11.73027778 466
Granze 45.15611111 11.71444444 467
Legnaro 45.34666667 11.96611111 468
Limena 45.48194444 11.84388889 469
Loreggia 45.59333333 11.94583333 470
LozzoAtestino 45.28888889 11.62722222 471
MaseràdiPadova 45.32194444 11.865 472
Masi 45.10861111 11.48888889 473
Massanzago 45.55694444 12.00444444 474
MegliadinoSanFidenzio 45.21833333 11.51666667 475
MegliadinoSanVitale 45.19416667 11.52666667 476
Merlara 45.16888889 11.44166667 477
Mestrino 45.44277778 11.76083333 478
Monselice 45.23972222 11.75138889 479
Montagnana 45.23388889 11.46722222 480
MontegrottoTerme 45.33333333 11.78444444 481
NoventaPadovana 45.41527778 11.95083333 482
OspedalettoEuganeo 45.22388889 11.61138889 483
Padova 45.40916667 11.87305556 484
Pernumia 45.25861111 11.79055556 485
Piacenzad'Adige 45.12944444 11.54777778 486
PiazzolasulBrenta 45.54333333 11.78722222 487
PiombinoDese 45.60888889 12.00083333 488
PiovediSacco 45.29833333 12.035 489
Polverara 45.31222222 11.95888889 490
Ponso 45.19388889 11.58694444 491
Pontelongo 45.25083333 12.02388889 492
PonteSanNicolò 45.36555556 11.93722222 493
Pozzonovo 45.19777778 11.79416667 494
Rovolon 45.38722222 11.65333333 495
Rubano 45.42805556 11.78527778 496
Saccolongo 45.40611111 11.74916667 497
Saletto 45.22805556 11.53444444 498
SanGiorgiodellePertiche 45.54166667 11.91055556 499
SanGiorgioinBosco 45.59222222 11.80694444 500
SanMartinodiLupari 45.64916667 11.85777778 501
SanPietroinGu 45.61638889 11.66972222 502
SanPietroViminario 45.2475 11.82 503
SantaGiustinainColle 45.56444444 11.90805556 504
SantaMargheritad'Adige 45.21722222 11.55805556 505
Sant'AngelodiPiovediSacco 45.34638889 12.00888889 506
Sant'Elena 45.18777778 11.71111111 507
Sant'Urbano 45.12944444 11.64666667 508
Saonara 45.37083333 11.98583333 509
SelvazzanoDentro 45.39527778 11.78361111 510
Solesino 45.17916667 11.74277778 511
Stanghella 45.13583333 11.75722222 512
Teolo 45.36805556 11.70833333 513
TerrassaPadovana 45.24722222 11.90305556 514
Tombolo 45.64638889 11.83194444 515
Torreglia 45.33611111 11.73277778 516
Trebaseleghe 45.59138889 12.05166667 517
Tribano 45.21277778 11.83388889 518
Urbana 45.18944444 11.44388889 519
Veggiano 45.44805556 11.71583333 520
Vescovana 45.13555556 11.70916667 521
Vighizzolod'Este 45.17638889 11.62916667 522
Vigodarzere 45.4625 11.87833333 523
Vigonza 45.44527778 11.99166667 524
VilladelConte 45.58416667 11.86055556 525
VillaEstense 45.17388889 11.66916667 526
VillafrancaPadovana 45.49472222 11.79972222 527
VillanovadiCamposampiero 45.49194444 11.97388889 528
Vo 45.329722 11.640833 529
DueCarrare 45.28333333 11.83333333 530
Adria 45.0575 12.05694444 531
ArianonelPolesine 44.948611 12.123889 532
ArquàPolesine 45.012222 11.740556 533
BadiaPolesine 45.095000 11.491111 534
BagnolodiPo 45.016667 11.501389 535
Bergantino 45.062222 11.252500 536
Bosaro 45.004722 11.771667 537
Calto 44.993056 11.357500 538
Canaro 44.938333 11.676389 539
Canda 45.035556 11.509722 540
Castelguglielmo 45.025278 11.538056 541
Castelmassa 45.018056 11.309444 542
CastelnovoBariano 45.028889 11.286667 543
Ceneselli 45.014722 11.368611 544
Ceregnano 45.053056 11.872500 545
Corbola 45.008056 12.078611 546
CostadiRovigo 45.051389 11.698611 547
Crespino 44.985833 11.885833 548
Ficarolo 44.955833 11.435833 549
FiessoUmbertiano 44.965000 11.601111 550
FrassinellePolesine 44.996667 11.699722 551
FrattaPolesine 45.030000 11.644722 552
Gaiba 44.948056 11.482778 553
Gavello 45.021944 11.915556 554
GiaccianoconBaruchella 45.067778 11.451111 555
GuardaVeneta 44.982222 11.802778 556
Lendinara 45.085000 11.599722 557
Loreo 45.063333 12.189444 558
Lusia 45.101667 11.663611 559
Melara 45.065278 11.198056 560
Occhiobello 44.921944 11.580000 561
Papozze 44.986944 12.030000 562
PettorazzaGrimani 45.137778 11.992500 563
Pincara 44.994444 11.610833 564
Polesella 44.967222 11.749722 565
PontecchioPolesine 45.020833 11.812222 566
PortoTolle 44.952778 12.333056 567
Rosolina 45.077222 12.246944 568
Rovigo 45.072500 11.792778 569
Salara 44.987500 11.426944 570
SanBellino 45.029444 11.590556 571
SanMartinodiVenezze 45.132222 11.871111 572
Stienta 44.940556 11.544444 573
TagliodiPo 45.010000 12.208333 574
Trecenta 45.030833 11.461667 575
Villadose 45.073056 11.892222 576
Villamarzana 45.015000 11.693611 577
VillanovadelGhebbo 45.059722 11.645278 578
VillanovaMarchesana 44.990556 11.978611 579
PortoViro 45.016667 12.216667 580
Cavallino-Treporti 45.465000 12.510000 581
Lido(A) 45.384122 12.348115 582
Pellestrina(A) 45.273243 12.301809 583
Murano(A) 45.458101 12.351548 584
Castello(A) 45.434707 12.352278 585
