Comune Provincia Codice Latitudine Longitudine
Valstagna VI 211 45.86166667 11.65666667
Velod'Astico VI 212 45.78972222 11.36666667
Vicenza VI 213 45.54972222 11.54861111
Villaga VI 214 45.40388889 11.53361111
Villaverla VI 215 45.65194444 11.49166667
Zanè VI 216 45.72305556 11.45805556
Zermeghedo VI 217 45.47694444 11.37
Zovencedo VI 218 45.42944444 11.50305556
Zugliano VI 219 45.73583333 11.52111111
Agordo BL 220 46.282500 12.034167
AlanodiPiave BL 221 45.909444 11.910278
Alleghe BL 222 46.408611 12.019722
Arsiè BL 223 45.983333 11.756667
AuronzodiCadore BL 224 46.554167 12.437778
Belluno BL 225 46.141389 12.214444
BorcadiCadore BL 226 46.438611 12.219444
CalalzodiCadore BL 227 46.450278 12.380556
Castellavazzo BL 228 46.287778 12.308611
CencenigheAgordino BL 229 46.355278 11.968056
Cesiomaggiore BL 230 46.089167 11.990000
Chiesd'Alpago BL 231 46.173333 12.387500
CibianadiCadore BL 232 46.390556 12.285833
ColleSantaLucia BL 233 46.447778 12.015278
ComelicoSuperiore BL 234 46.594167 12.513333
Cortinad'Ampezzo BL 235 46.538889 12.136944
DantadiCadore BL 236 46.569444 12.520833
DomeggediCadore BL 237 46.463333 12.416111
Falcade BL 238 46.356111 11.859722
Farrad'Alpago BL 239 46.123333 12.357778
Feltre BL 240 46.022778 11.906389
Fonzaso BL 241 46.022500 11.798889
Canaled'Agordo BL 242 46.360556 11.915833
FornodiZoldo BL 243 46.346389 12.176111
Gosaldo BL 244 46.222778 11.954167
Lamon BL 245 46.050833 11.748056
LaValleAgordina BL 246 46.283056 12.067500
Lentiai BL 247 46.046667 12.021111
Limana BL 248 46.100000 12.183611
LivinallongodelColdiLana BL 249 46.483056 11.955556
Longarone BL 250 46.270833 12.301111
LorenzagodiCadore BL 251 46.481389 12.458333
LozzodiCadore BL 252 46.486389 12.440833
Mel BL 253 46.061667 12.080278
OspitalediCadore BL 254 46.332778 12.323611
Pedavena BL 255 46.045833 11.880833
PerarolodiCadore BL 256 46.398333 12.356667
Pieved'Alpago BL 257 46.168611 12.352222
PievediCadore BL 258 46.432778 12.374722
PontenelleAlpi BL 259 46.175278 12.302222
Puosd'Alpago BL 260 46.144167 12.363056
Quero BL 261 45.922500 11.932222
RivamonteAgordino BL 262 46.258889 12.026944
RoccaPietore BL 263 46.435278 11.977778
SanGregorionelleAlpi BL 264 46.105556 12.024722
SanNicolòdiComelico BL 265 46.583611 12.526944
SanPietrodiCadore BL 266 46.573333 12.586667
SantaGiustina BL 267 46.085833 12.041944
SanTomasoAgordino BL 268 46.381944 11.975278
SantoStefanodiCadore BL 269 46.559722 12.550278
SanVitodiCadore BL 270 46.465556 12.204444
Sappada BL 271 46.566111 12.678333
Sedico BL 272 46.111667 12.098333
SelvadiCadore BL 273 46.452500 12.035278
SerendelGrappa BL 274 45.989167 11.846389
Sospirolo BL 275 46.144167 12.074167
Soverzene BL 276 46.206389 12.303056
Sovramonte BL 277 46.062500 11.786389
TaibonAgordino BL 278 46.300556 12.011111
Tambre BL 279 46.130833 12.423611
Trichiana BL 280 46.074722 12.131111
ValladaAgordina BL 281 46.371111 11.931111
VallediCadore BL 282 46.420556 12.336111
Vas BL 283 45.940000 11.938333
VigodiCadore BL 284 46.500278 12.472222
VodoCadore BL 285 46.420000 12.246667
VoltagoAgordino BL 286 46.274722 12.005556
ZoldoAlto BL 287 46.376389 12.127500
ZoppèdiCadore BL 288 46.388611 12.172222
Altivole TV 289 45.754444 11.956111
Arcade TV 290 45.786389 12.219444
Asolo TV 291 45.804167 11.914167
BorsodelGrappa TV 292 45.822222 11.800278
BredadiPiave TV 293 45.724444 12.331389
CaeranodiSanMarco TV 294 45.787500 12.001944
CappellaMaggiore TV 295 45.970833 12.362778
Carbonera TV 296 45.680556 12.286944
CasalesulSile TV 297 45.599167 12.326667
Casier TV 298 45.635556 12.258333
Castelcucco TV 299 45.835556 11.882778
CastelfrancoVeneto TV 300 45.673056 11.926667
CastellodiGodego TV 301 45.693889 11.881111
CavasodelTomba TV 302 45.861111 11.897222
Cessalto TV 303 45.713333 12.613056
Chiarano TV 304 45.730278 12.582500
Cimadolmo TV 305 45.788056 12.363056
CisondiValmarino TV 306 45.971667 12.142500
Codognè TV 307 45.868889 12.433611
ColleUmberto TV 308 45.942500 12.343333
Conegliano TV 309 45.887222 12.297222
Cordignano TV 310 45.950833 12.416111
Cornuda TV 311 45.833056 12.006944
CrespanodelGrappa TV 312 45.829444 11.839722
CrocettadelMontello TV 313 45.823889 12.019722
FarradiSoligo TV 314 45.908056 12.124722
Follina TV 315 45.955000 12.118889
Fontanelle TV 316 45.832222 12.468611
Fonte TV 317 45.786111 11.870556
Fregona TV 318 46.009722 12.340556
Gaiarine TV 319 45.879722 12.483611
GiaveradelMontello TV 320 45.803333 12.168611
GodegadiSant'Urbano TV 321 45.929722 12.398611
GorgoalMonticano TV 322 45.788333 12.551667
Istrana TV 323 45.680278 12.099722
Loria TV 324 45.731111 11.866111
Mansuè TV 325 45.823611 12.540833
MarenodiPiave TV 326 45.847500 12.355000
Maser TV 327 45.809444 11.977500
MaseradasulPiave TV 328 45.755556 12.315278
MedunadiLivenza TV 329 45.807500 12.613611
Miane TV 330 45.945833 12.095556
MoglianoVeneto TV 331 45.563056 12.236667
MonastierdiTreviso TV 332 45.651944 12.434167
Monfumo TV 333 45.833056 11.921389
Montebelluna TV 334 45.776667 12.045000
Morgano TV 335 45.635833 12.083333
MoriagodellaBattaglia TV 336 45.867222 12.100833
MottadiLivenza TV 337 45.777222 12.611111
NervesadellaBattaglia TV 338 45.825833 12.209444
Oderzo TV 339 45.783333 12.494444
Ormelle TV 340 45.780556 12.420000
Orsago TV 341 45.932500 12.422500
PadernodelGrappa TV 342 45.828056 11.852500
Paese TV 343 45.673056 12.156667
Pederobba TV 344 45.859167 11.987222
PievediSoligo TV 345 45.901111 12.172500
PontediPiave TV 346 45.717500 12.463611
PonzanoVeneto TV 347 45.719167 12.209167
Portobuffolè TV 348 45.854722 12.538611
Possagno TV 349 45.856667 11.881111
Povegliano TV 350 45.759722 12.206111
Preganziol TV 351 45.604444 12.235833
QuintodiTreviso TV 352 45.646389 12.168056
Refrontolo TV 353 45.924444 12.206944
Resana TV 354 45.632500 11.956944
RevineLago TV 355 45.992778 12.231111
RiesePioX TV 356 45.730833 11.919722
Roncade TV 357 45.629722 12.376389
Salgareda TV 358 45.705278 12.493889
SanBiagiodiCallalta TV 359 45.684722 12.376944
SanFior TV 360 45.921389 12.357778
SanPietrodiFeletto TV 361 45.914167 12.253056
SanPolodiPiave TV 362 45.792500 12.395833
SantaLuciadiPiave TV 363 45.851667 12.287222
SanVendemiano TV 364 45.888611 12.345278
SanZenonedegliEzzelini TV 365 45.780556 11.840556
Sarmede TV 366 45.979444 12.385000
Segusino TV 367 45.916944 11.954444
SernagliadellaBattaglia TV 368 45.875833 12.133611
Silea TV 369 45.654444 12.299167
Spresiano TV 370 45.781111 12.259167
Susegana TV 371 45.852222 12.250556
Tarzo TV 372 45.973611 12.233056
Trevignano TV 373 45.742500 12.086111
Treviso TV 374 45.666389 12.245278
Valdobbiadene TV 375 45.902500 11.997222
Vazzola TV 376 45.838889 12.380278
Vedelago TV 377 45.687222 12.019722
Vidor TV 378 45.863333 12.039167
Villorba TV 379 45.713333 12.260000
VittorioVeneto TV 380 45.990556 12.296944
VolpagodelMontello TV 381 45.778333 12.125278
ZensondiPiave TV 382 45.679167 12.492222
ZeroBranco TV 383 45.602222 12.168333
AnnoneVeneto VE 384 45.797500 12.685833
CampagnaLupia VE 385 45.356944 12.098333
CampolongoMaggiore VE 386 45.333056 12.050278
Camponogara VE 387 45.385833 12.074167
Caorle VE 388 45.602500 12.888333
Cavarzere VE 389 45.136667 12.083889
Ceggia VE 390 45.686111 12.637778
Chioggia VE 391 45.220556 12.279444
CintoCaomaggiore VE 392 45.826111 12.786667
Cona VE 393 45.194444 12.041667
ConcordiaSagittaria VE 394 45.757222 12.845278
Dolo VE 395 45.425556 12.075556
Eraclea VE 396 45.578889 12.673056
Fiessod'Artico VE 397 45.419167 12.033611
FossaltadiPiave VE 398 45.648611 12.513889
FossaltadiPortogruaro VE 399 45.792222 12.909167
Fossò VE 400 45.388333 12.050278
Gruaro VE 401 45.831389 12.841111
Jesolo VE 402 45.540000 12.641389
Marcon VE 403 45.555556 12.299167
Martellago VE 404 45.548333 12.156667
Meolo VE 405 45.622500 12.451944
Mira VE 406 45.435000 12.122500
Mirano VE 407 45.494722 12.112500
MusilediPiave VE 408 45.623889 12.565000
Noale VE 409 45.551944 12.073056
NoventadiPiave VE 410 45.662778 12.530556
Pianiga VE 411 45.458056 12.031111
Portogruaro VE 412 45.777222 12.837222
Pramaggiore VE 413 45.814444 12.738611
Quartod'Altino VE 414 45.581944 12.370833
Salzano VE 415 45.522500 12.106944
SanDonàdiPiave VE 416 45.633889 12.565278
SanMichelealTagliamento VE 417 45.767222 12.994722
SantaMariadiSala VE 418 45.508333 12.036111
SantoStinodiLivenza VE 419 45.731944 12.681667
Scorzè VE 420 45.574444 12.109444
Spinea VE 421 45.491944 12.169444
Stra VE 422 45.411389 12.009167
TeglioVeneto VE 423 45.816389 12.886944
TorrediMosto VE 424 45.691389 12.710833
Venezia VE 425 45.438056 12.327500
Vigonovo VE 426 45.389167 12.008889
Cavallino-Treporti VE 427 45.450000 12.450000
AbanoTerme PD 428 45.36166667 11.79083333
Agna PD 429 45.17222222 11.96166667
Albignasego PD 430 45.3475 11.86805556
AnguillaraVeneta PD 431 45.14138889 11.88888889
ArquàPetrarca PD 432 45.27055556 11.71861111
Arre PD 433 45.21805556 11.93083333
Arzergrande PD 434 45.27583333 12.04583333
BagnolidiSopra PD 435 45.18638889 11.88472222
Baone PD 436 45.24444444 11.68777778
Barbona PD 437 45.10833333 11.66222222
BattagliaTerme PD 438 45.29194444 11.78527778
BoaraPisani PD 439 45.10861111 11.78277778
Borgoricco PD 440 45.53138889 11.96638889
Bovolenta PD 441 45.27111111 11.93944444
Brugine PD 442 45.29916667 11.99444444
Cadoneghe PD 443 45.45 11.91027778
Campodarsego PD 444 45.50305556 11.90861111
Campodoro PD 445 45.49388889 11.75333333
Camposampiero PD 446 45.57083333 11.93388889
CampoSanMartino PD 447 45.54861111 11.81138889
Candiana PD 448 45.22166667 11.9925
Carceri PD 449 45.19916667 11.62583333
CarmignanodiBrenta PD 450 45.63138889 11.71055556
Cartura PD 451 45.26916667 11.85972222
CasalediScodosia PD 452 45.18694444 11.46111111
Casalserugo PD 453 45.31805556 11.91361111
Castelbaldo PD 454 45.12416667 11.44666667
CervareseSantaCroce PD 455 45.40305556 11.69444444
CintoEuganeo PD 456 45.2925 11.66222222
Cittadella PD 457 45.65027778 11.785
Codevigo PD 458 45.26888889 12.10166667
Conselve PD 459 45.23277778 11.87583333
Correzzola PD 460 45.2375 12.06777778
Curtarolo PD 461 45.52305556 11.83305556
Este PD 462 45.22805556 11.65333333
Fontaniva PD 463 45.63805556 11.75694444
GallieraVeneta PD 464 45.66388889 11.82972222
GalzignanoTerme PD 465 45.31055556 11.72888889
Gazzo PD 466 45.58222222 11.7075
Grantorto PD 467 45.60194444 11.73027778
Granze PD 468 45.15611111 11.71444444
Legnaro PD 469 45.34666667 11.96611111
Limena PD 470 45.48194444 11.84388889
Loreggia PD 471 45.59333333 11.94583333
LozzoAtestino PD 472 45.28888889 11.62722222
MaseràdiPadova PD 473 45.32194444 11.865
Masi PD 474 45.10861111 11.48888889
Massanzago PD 475 45.55694444 12.00444444
MegliadinoSanFidenzio PD 476 45.21833333 11.51666667
MegliadinoSanVitale PD 477 45.19416667 11.52666667
Merlara PD 478 45.16888889 11.44166667
Mestrino PD 479 45.44277778 11.76083333
Monselice PD 480 45.23972222 11.75138889
Montagnana PD 481 45.23388889 11.46722222
MontegrottoTerme PD 482 45.33333333 11.78444444
NoventaPadovana PD 483 45.41527778 11.95083333
OspedalettoEuganeo PD 484 45.22388889 11.61138889
Padova PD 485 45.40916667 11.87305556
Pernumia PD 486 45.25861111 11.79055556
Piacenzad'Adige PD 487 45.12944444 11.54777778
PiazzolasulBrenta PD 488 45.54333333 11.78722222
PiombinoDese PD 489 45.60888889 12.00083333
PiovediSacco PD 490 45.29833333 12.035
Polverara PD 491 45.31222222 11.95888889
Ponso PD 492 45.19388889 11.58694444
Pontelongo PD 493 45.25083333 12.02388889
PonteSanNicolò PD 494 45.36555556 11.93722222
Pozzonovo PD 495 45.19777778 11.79416667
Rovolon PD 496 45.38722222 11.65333333
Rubano PD 497 45.42805556 11.78527778
Saccolongo PD 498 45.40611111 11.74916667
Saletto PD 499 45.22805556 11.53444444
SanGiorgiodellePertiche PD 500 45.54166667 11.91055556
SanGiorgioinBosco PD 501 45.59222222 11.80694444
SanMartinodiLupari PD 502 45.64916667 11.85777778
SanPietroinGu PD 503 45.61638889 11.66972222
SanPietroViminario PD 504 45.2475 11.82
SantaGiustinainColle PD 505 45.56444444 11.90805556
SantaMargheritad'Adige PD 506 45.21722222 11.55805556
Sant'AngelodiPiovediSacco PD 507 45.34638889 12.00888889
Sant'Elena PD 508 45.18777778 11.71111111
Sant'Urbano PD 509 45.12944444 11.64666667
Saonara PD 510 45.37083333 11.98583333
SelvazzanoDentro PD 511 45.39527778 11.78361111
Solesino PD 512 45.17916667 11.74277778
Stanghella PD 513 45.13583333 11.75722222
Teolo PD 514 45.36805556 11.70833333
TerrassaPadovana PD 515 45.24722222 11.90305556
Tombolo PD 516 45.64638889 11.83194444
Torreglia PD 517 45.33611111 11.73277778
Trebaseleghe PD 518 45.59138889 12.05166667
Tribano PD 519 45.21277778 11.83388889
Urbana PD 520 45.18944444 11.44388889
Veggiano PD 521 45.44805556 11.71583333
Vescovana PD 522 45.13555556 11.70916667
Vighizzolod'Este PD 523 45.17638889 11.62916667
Vigodarzere PD 524 45.4625 11.87833333
Vigonza PD 525 45.44527778 11.99166667
VilladelConte PD 526 45.58416667 11.86055556
VillaEstense PD 527 45.17388889 11.66916667
VillafrancaPadovana PD 528 45.49472222 11.79972222
VillanovadiCamposampiero PD 529 45.49194444 11.97388889
Vo PD 530 45.329722 11.640833
DueCarrare PD 531 45.28333333 11.83333333
Adria RO 532 45.0575 12.05694444
ArianonelPolesine RO 533 44.948611 12.123889
ArquàPolesine RO 534 45.012222 11.740556
BadiaPolesine RO 535 45.095000 11.491111
BagnolodiPo RO 536 45.016667 11.501389
Bergantino RO 537 45.062222 11.252500
Bosaro RO 538 45.004722 11.771667
Calto RO 539 44.993056 11.357500
Canaro RO 540 44.938333 11.676389
Canda RO 541 45.035556 11.509722
Castelguglielmo RO 542 45.025278 11.538056
Castelmassa RO 543 45.018056 11.309444
CastelnovoBariano RO 544 45.028889 11.286667
Ceneselli RO 545 45.014722 11.368611
Ceregnano RO 546 45.053056 11.872500
Corbola RO 547 45.008056 12.078611
CostadiRovigo RO 548 45.051389 11.698611
Crespino RO 549 44.985833 11.885833
Ficarolo RO 550 44.955833 11.435833
FiessoUmbertiano RO 551 44.965000 11.601111
FrassinellePolesine RO 552 44.996667 11.699722
FrattaPolesine RO 553 45.030000 11.644722
Gaiba RO 554 44.948056 11.482778
Gavello RO 555 45.021944 11.915556
GiaccianoconBaruchella RO 556 45.067778 11.451111
GuardaVeneta RO 557 44.982222 11.802778
Lendinara RO 558 45.085000 11.599722
Loreo RO 559 45.063333 12.189444
Lusia RO 560 45.101667 11.663611
Melara RO 561 45.065278 11.198056
Occhiobello RO 562 44.921944 11.580000
Papozze RO 563 44.986944 12.030000
PettorazzaGrimani RO 564 45.137778 11.992500
Pincara RO 565 44.994444 11.610833
Polesella RO 566 44.967222 11.749722
PontecchioPolesine RO 567 45.020833 11.812222
PortoTolle RO 568 44.952778 12.333056
Rosolina RO 569 45.077222 12.246944
Rovigo RO 570 45.072500 11.792778
Salara RO 571 44.987500 11.426944
SanBellino RO 572 45.029444 11.590556
SanMartinodiVenezze RO 573 45.132222 11.871111
Stienta RO 574 44.940556 11.544444
TagliodiPo RO 575 45.010000 12.208333
Trecenta RO 576 45.030833 11.461667
Villadose RO 577 45.073056 11.892222
Villamarzana RO 578 45.015000 11.693611
VillanovadelGhebbo RO 579 45.059722 11.645278
VillanovaMarchesana RO 580 44.990556 11.978611
PortoViro RO 581 45.016667 12.216667
