Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
IsoladellaScala 45.273611 11.006389 40 66 66 72 75 69 85 79 79 79 72 112 104 116 138 191
IsolaRizza 45.292500 11.199722 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lavagno 45.442500 11.131944 42 0 0 0 0 0 0 5 5 5 9 27 18 30 28 30
Lazise 45.506667 10.734444 43 21284 21461 21677 21914 21961 22128 25667 25647 25667 22484 21034 26104 27561 28289 28855
Legnago 45.193333 11.310833 44 230 230 230 234 234 234 246 300 246 331 353 294 304 318 318
Malcesine 45.763611 10.809722 45 8428 8176 8205 8491 8595 8468 8533 8457 8533 8574 8544 9166 9148 9060 9165
MaranodiValpolicella 45.558056 10.917778 46 10 10 10 0 0 0 0 1 0 12 22 23 23 42 42
MezzanediSotto 45.483333 11.127778 47 0 11 11 11 11 11 11 8 11 10 22 22 53 52 52
Minerbe 45.241389 11.339167 48 19 12 12 13 13 13 20 7 20 0 14 14 14 14 14
MontecchiadiCrosara 45.486389 11.254444 49 19 19 19 19 19 19 19 17 19 17 25 25 28 28 28
Monteforted'Alpone 45.423333 11.286389 50 12 12 12 12 12 22 32 26 32 34 35 35 60 49 49
Mozzecane 45.309722 10.818333 51 0 0 0 0 0 0 0 24 0 12 34 32 32 36 36
Negrar 45.532500 10.938611 52 222 222 410 430 367 405 428 442 428 507 623 595 646 628 669
Nogara 45.179722 11.061667 53 70 70 70 70 70 97 97 97 97 79 110 110 119 119 119
NogaroleRocca 45.293611 10.880000 54 105 105 105 105 105 105 115 125 115 149 250 240 273 329 352
Oppeano 45.307778 11.181389 55 0 0 0 84 84 84 84 106 84 106 106 106 138 154 154
Palù 45.325556 11.154444 56 18 18 18 18 18 18 18 14 18 18 14 14 20 18 18
Pastrengo 45.492778 10.802778 57 56 56 56 56 61 61 38 44 38 44 202 234 267 272 272
Pescantina 45.484167 10.868333 58 151 151 151 151 155 203 219 218 219 214 285 317 310 319 327
PeschieradelGarda 45.438889 10.694722 59 9362 10964 11023 11084 11122 11121 10567 10687 10567 10506 15807 15418 15171 15481 15402
PoveglianoVeronese 45.347222 10.882222 60 15 15 15 15 28 38 38 38 38 38 40 45 51 51 51
Pressana 45.285833 11.402222 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RivoliVeronese 45.572500 10.813333 62 18 18 18 42 42 42 18 18 18 4 78 78 103 93 108
Roncà 45.481389 11.291667 63 0 0 0 0 0 0 0 0 0 0 0 0 14 14 14
Roncoall'Adige 45.336944 11.248056 64 10 10 10 26 36 36 54 54 54 28 54 54 54 54 54
Roverchiara 45.273056 11.248333 65 31 29 29 29 40 40 35 35 35 29 45 35 60 60 60
RoveredodiGuà 45.274167 11.443333 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RoverèVeronese 45.594167 11.066389 67 465 416 432 581 581 566 567 552 567 523 378 386 386 364 1044
Salizzole 45.243889 11.084722 68 0 0 0 0 0 0 0 0 0 0 18 18 48 48 44
SanBonifacio 45.396944 11.271389 69 217 236 260 280 304 306 321 334 321 354 398 339 334 332 332
SanGiovanniIlarione 45.525556 11.237222 70 33 33 33 23 23 23 23 24 23 20 26 26 26 26 32
SanGiovanniLupatoto 45.384444 11.045556 71 138 138 138 138 544 560 560 560 560 552 609 593 619 611 621
Sanguinetto 45.182500 11.151667 72 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37
SanMartinoBuonAlbergo 45.423611 11.094722 73 335 335 337 337 337 351 406 406 406 416 476 480 587 596 633
SanMaurodiSaline 45.566667 11.113611 74 87 87 87 85 174 174 155 155 155 350 15 40 46 106 312
SanPietrodiMorubio 45.243889 11.228611 75 0 0 0 0 0 0 0 0 0 0 4 4 10 10 10
SanPietroinCariano 45.515556 10.879167 76 248 248 261 273 276 295 295 300 295 414 421 440 520 529 544
Sant'AmbrogiodiValpolicella 45.525000 10.838333 77 110 120 120 110 121 121 121 131 121 153 164 180 190 190 197
Sant'Annad'Alfaedo 45.628333 10.952500 78 348 348 348 569 565 449 410 409 410 386 261 195 205 498 484
SanZenodiMontagna 45.640000 10.733333 79 1595 1730 1730 2220 2388 2445 2374 2209 2374 1940 2436 2369 2468 2512 2501
SelvadiProgno 45.612500 11.139722 80 527 527 527 517 506 506 506 511 506 217 256 25 28 73 173
Soave 45.423056 11.248889 81 178 178 263 263 269 288 288 294 288 295 329 344 388 385 398
Sommacampagna 45.408056 10.845556 82 320 320 328 327 327 327 336 374 336 420 485 499 554 566 567
Sona 45.434444 10.833611 83 0 0 0 0 150 162 162 181 162 217 274 320 401 461 476
Sorgà 45.213889 10.979444 84 16 16 16 16 16 16 16 16 16 6 5 5 21 32 32
Terrazzo 45.175278 11.398056 85 0 0 0 0 0 0 0 0 0 2 2 5 5 5 5
TorridelBenaco 45.610278 10.687500 86 3730 3511 3731 4159 4102 4146 4082 3945 4082 3913 3660 3611 3480 3461 3723
Tregnago 45.515000 11.167222 87 44 25 45 40 40 30 25 9 25 45 75 76 86 97 97
Trevenzuolo 45.269722 10.933611 88 19 19 19 19 19 19 19 23 19 19 25 28 28 28 28
ValeggiosulMincio 45.354722 10.736667 89 726 746 756 798 804 727 718 644 718 683 1352 1383 2256 2291 3200
VeloVeronese 45.606111 11.096111 90 538 478 478 738 738 738 738 738 738 688 361 361 374 456 474
Verona 45.444444 10.998889 91 7726 7831 8103 8583 8845 9242 9169 9195 9169 9100 10014 10048 9799 10134 10893
Veronella 45.321944 11.325000 92 12 12 12 18 18 18 18 18 18 12 14 14 14 14 14
Vestenanova 45.575278 11.227222 93 107 108 128 107 107 99 99 99 99 44 82 50 50 50 50
Vigasio 45.317500 10.941667 94 0 0 0 0 0 0 0 4 0 193 202 202 207 207 207
VillaBartolomea 45.158889 11.352222 95 0 0 0 0 0 12 12 12 12 28 25 50 242 242 242
VillafrancadiVerona 45.353333 10.846389 96 205 205 205 343 343 348 381 416 381 504 1420 1623 1613 1680 1715
Zevio 45.377222 11.136389 97 0 0 0 0 6 6 8 8 8 43 54 96 126 121 121
Zimella 45.365278 11.341389 98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Agugliaro 45.32555556 11.58722222 99 16 20 20 20 20 25 25 14 25 27 27 27 26 33 34
Albettone 45.35861111 11.58555556 100 13 13 13 13 13 15 15 10 15 15 15 15 18 18 18
Alonte 45.36666667 11.42916667 101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
AltavillaVicentina 45.50944444 11.47138889 102 287 267 264 270 275 393 393 382 393 399 401 419 435 426 431
Altissimo 45.61583333 11.25111111 103 10 0 0 10 10 17 22 22 22 27 27 31 41 29 29
Arcugnano 45.4975 11.5525 104 99 148 148 165 169 193 202 191 202 247 259 252 262 266 280
Arsiero 45.80416667 11.35166667 105 72 75 96 96 96 129 143 129 143 140 139 169 155 155 155
Arzignano 45.52166667 11.33388889 106 98 98 98 98 98 102 119 91 119 118 118 133 139 133 133
Asiago 45.87555556 11.50916667 107 8914 8833 8889 8802 8972 8824 8501 8659 8501 38167 4932 4930 5000 5812 5891
AsiglianoVeneto 45.305 11.44666667 108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BarbaranoVicentino 45.41166667 11.54083333 109 16 27 27 27 27 25 25 25 25 65 69 69 72 74 74
BassanodelGrappa 45.76638889 11.73694444 110 741 529 564 564 637 679 762 756 762 977 1091 1121 1124 1128 1133
BolzanoVicentino 45.60361111 11.62333333 111 25 25 29 29 133 139 139 139 139 195 201 197 191 191 191
Breganze 45.70888889 11.56305556 112 32 32 32 32 32 20 20 27 20 119 29 31 43 50 60
Brendola 45.4725 11.46027778 113 28 28 0 0 15 15 15 31 15 35 41 48 52 48 48
Bressanvido 45.645 11.63305556 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Brogliano 45.58972222 11.36555556 115 50 50 50 54 54 48 48 48 48 58 58 58 58 58 58
Caldogno 45.61194444 11.50194444 116 56 56 49 108 59 59 59 59 59 62 77 69 69 69 69
Caltrano 45.77055556 11.465 117 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5
Calvene 45.76611111 11.51222222 118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CamisanoVicentino 45.52416667 11.71416667 119 15 17 17 17 17 25 8 8 8 14 14 14 16 20 24
CampigliadeiBerici 45.33833333 11.54055556 120 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10
CampolongosulBrenta 45.82944444 11.69972222 121 24 38 38 38 52 38 46 46 46 93 93 123 123 129 129
Carrè 45.74972222 11.46 122 42 58 59 59 59 55 60 41 60 44 52 52 52 52 52
Cartigliano 45.71472222 11.69833333 123 7 7 7 7 11 10 10 6 10 0 9 12 15 15 15
Cassola 45.73305556 11.79361111 124 118 111 111 111 118 114 114 134 114 147 150 146 118 118 288
Castegnero 45.43888889 11.6 125 0 22 22 22 22 22 22 22 22 22 22 38 38 38 38
Castelgomberto 45.58611111 11.395 126 0 0 0 0 0 0 10 10 10 10 10 10 10 12 12
Chiampo 45.54583333 11.27916667 127 64 64 142 142 142 141 119 99 119 103 152 159 158 167 169
Chiuppano 45.76416667 11.46472222 128 0 0 0 0 0 0 0 0 0 99 9 9 9 9 9
CismondelGrappa 45.92055556 11.73305556 129 87 114 114 114 114 106 122 113 122 127 152 142 123 123 123
CogollodelCengio 45.78944444 11.42083333 130 45 19 19 20 20 20 20 20 20 20 26 26 26 26 26
Conco 45.80166667 11.60916667 131 552 531 504 549 488 488 412 366 412 370 375 322 332 375 397
CornedoVicentino 45.61444444 11.345 132 14 30 30 30 30 30 52 52 52 58 62 62 62 62 62
Costabissara 45.58416667 11.48305556 133 24 24 25 48 48 48 60 60 60 60 172 177 187 183 183
Creazzo 45.53638889 11.47416667 134 22 31 31 24 24 24 29 5 29 397 394 394 409 402 408
Crespadoro 45.62083333 11.22611111 135 228 228 203 203 203 245 211 211 211 121 214 144 144 141 132
Dueville 45.63638889 11.54972222 136 39 29 29 29 29 31 31 31 31 31 34 42 42 42 47
Enego 45.94166667 11.70694444 137 1717 1658 1602 1602 1602 1602 1602 1641 1602 1584 915 859 843 879 890
FaraVicentino 45.74305556 11.5475 138 0 0 10 10 34 34 38 41 38 53 41 52 52 67 94
Foza 45.8975 11.63027778 139 293 293 297 297 297 297 297 305 297 280 152 152 152 148 148
Gallio 45.89194444 11.54722222 140 4224 4185 4284 4216 4237 4232 4003 3939 4003 4854 1253 1178 1259 2654 2680
Gambellara 45.46305556 11.33777778 141 6 6 6 6 6 0 0 0 0 6 6 6 6 22 22
Gambugliano 45.58916667 11.43888889 142 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5
Grancona 45.42444444 11.455 143 17 19 21 21 21 24 24 31 24 28 34 34 34 34 34
GrisignanodiZocco 45.47638889 11.70055556 144 87 90 90 90 182 182 188 165 188 172 199 199 205 205 205
GrumolodelleAbbadesse 45.5175 11.65916667 145 75 75 75 75 75 75 71 71 71 114 114 114 119 215 215
IsolaVicentina 45.63027778 11.44194444 146 11 11 0 15 15 20 16 36 16 20 23 34 44 48 48
Laghi 45.825 11.27305556 147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lastebasse 45.91611111 11.27111111 148 212 200 140 140 140 141 141 41 141 64 188 88 88 88 188
Longare 45.48 11.60944444 149 0 8 18 18 34 49 52 52 52 86 75 66 74 73 73
Lonigo 45.38777778 11.38888889 150 60 24 25 25 25 25 30 30 30 198 214 221 221 226 232
LugodiVicenza 45.755 11.52305556 151 0 0 0 0 0 0 0 9 0 0 9 51 51 51 51
Lusiana 45.78583333 11.57444444 152 1122 1122 1126 1099 1099 1011 1024 1016 1024 1117 263 209 209 234 511
Malo 45.65777778 11.40583333 153 98 98 98 98 98 100 100 74 100 110 134 115 115 94 94
MaranoVicentino 45.69333333 11.43027778 154 17 17 17 17 17 17 17 17 17 23 25 28 28 23 23
Marostica 45.74805556 11.65611111 155 102 101 127 131 134 222 254 256 254 260 269 263 297 285 298
MasonVicentino 45.71944444 11.60888889 156 0 0 0 0 0 0 0 0 0 34 50 57 53 53 53
Molvena 45.735 11.61333333 157 11 11 11 11 11 9 21 21 21 29 39 43 42 38 42
MontebelloVicentino 45.45861111 11.38611111 158 38 20 20 20 20 20 20 34 20 17 37 37 37 37 37
MontecchioMaggiore 45.50638889 11.41027778 159 451 446 550 501 550 550 495 549 495 638 689 689 707 713 716
MontecchioPrecalcino 45.665 11.56055556 160 7 7 7 7 7 11 11 4 11 0 0 0 0 0 0
MontediMalo 45.66138889 11.36305556 161 0 0 0 13 13 13 13 13 13 13 11 11 11 11 11
Montegalda 45.44527778 11.67944444 162 23 23 32 32 56 56 56 44 56 67 40 64 60 56 69
Montegaldella 45.43666667 11.67527778 163 0 0 0 0 0 18 18 0 18 18 36 36 29 11 11
Monteviale 45.56166667 11.45833333 164 0 0 0 0 0 0 0 0 0 4 3 9 9 5 16
MonticelloConteOtto 45.59555556 11.58583333 165 20 20 20 20 20 20 25 25 25 27 29 29 29 39 39
MontorsoVicentino 45.49027778 11.36277778 166 36 36 36 36 36 46 46 46 46 46 46 46 46 46 46
Mossano 45.42083333 11.55527778 167 0 0 0 0 0 16 16 16 16 16 26 26 17 7 7
Mussolente 45.78416667 11.80361111 168 38 38 38 38 38 37 37 37 37 46 65 65 65 65 64
Nanto 45.42527778 11.59361111 169 0 0 0 0 4 6 6 4 6 0 0 0 0 0 0
NogaroleVicentino 45.56055556 11.28833333 170 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14
Nove 45.72666667 11.67916667 171 0 0 0 0 0 0 0 0 0 6 6 6 6 6 6
NoventaVicentina 45.29138889 11.54 172 78 69 69 69 69 69 69 69 69 87 99 99 80 93 113
Orgiano 45.35222222 11.46638889 173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pedemonte 45.91027778 11.30972222 174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pianezze 45.74166667 11.6275 175 0 0 0 0 0 0 6 6 6 40 10 10 10 10 10
PioveneRocchette 45.76166667 11.43055556 176 37 37 37 37 37 37 37 46 37 74 43 43 43 43 43
PoianaMaggiore 45.29055556 11.50138889 177 0 0 0 0 0 0 4 4 4 4 4 4 4 4 4
Posina 45.79222222 11.26194444 178 925 931 896 896 900 894 209 139 209 143 219 153 153 165 165
PovedelGrappa 45.80166667 11.72888889 179 95 79 79 79 121 106 99 110 99 95 100 89 89 84 84
Pozzoleone 45.64972222 11.68 180 0 0 0 0 0 0 0 0 0 0 4 4 4 4 4
QuintoVicentino 45.57416667 11.62611111 181 0 3 0 3 3 13 17 14 17 48 47 57 57 57 57
RecoaroTerme 45.70638889 11.225 182 2466 2294 2294 2294 1961 1895 1644 1641 1644 2114 1568 1543 1678 1607 1616
Roana 45.86555556 11.47416667 183 5438 5438 5642 5691 5688 5647 5020 5032 5020 6468 3723 3548 3792 5127 5256
Romanod'Ezzelino 45.78 11.77083333 184 63 63 63 63 101 103 103 94 103 154 104 124 124 124 148
Rosà 45.72444444 11.76472222 185 38 38 38 38 38 38 52 52 52 44 58 71 71 65 74
RossanoVeneto 45.70694444 11.80333333 186 0 0 0 0 0 0 0 0 0 10 10 10 61 61 61
Rotzo 45.86583333 11.40138889 187 460 460 460 460 460 460 460 460 460 466 33 37 62 114 124
Salcedo 45.76027778 11.565 188 0 0 0 0 4 4 4 4 4 4 11 11 0 0 5
Sandrigo 45.66166667 11.60361111 189 153 152 152 205 205 212 212 212 212 218 218 229 234 237 246
SanGermanodeiBerici 45.40222222 11.47666667 190 0 4 4 4 4 27 39 44 39 33 45 52 51 39 46
SanNazario 45.84194444 11.69 191 21 21 21 21 33 33 37 32 37 26 53 61 114 102 112
SanPietroMussolino 45.58861111 11.25777778 192 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26
Santorso 45.73916667 11.39027778 193 25 25 25 25 25 27 25 25 25 126 126 126 126 131 131
SanVitodiLeguzzano 45.68333333 11.37638889 194 20 20 20 20 20 20 20 36 20 36 36 36 36 36 34
Sarcedo 45.70944444 11.52722222 195 12 0 11 11 11 18 18 18 18 18 24 24 24 24 24
Sarego 45.40777778 11.4075 196 0 5 5 5 5 13 13 13 13 27 27 39 32 28 34
Schiavon 45.69861111 11.64472222 197 75 75 75 75 75 75 75 75 75 75 145 145 112 159 159
Schio 45.71527778 11.36166667 198 534 498 622 622 622 779 765 772 765 784 815 828 1029 1054 1088
Solagna 45.81527778 11.72138889 199 62 62 62 62 62 59 52 58 52 150 199 199 195 193 192
Sossano 45.35888889 11.50972222 200 45 45 45 45 45 45 45 45 45 38 38 38 38 38 38
Sovizzo 45.52944444 11.4475 201 0 0 0 0 0 18 18 23 18 23 29 37 37 37 37
TezzesulBrenta 45.685 11.70361111 202 117 123 123 131 143 154 139 141 139 132 147 134 141 173 175
Thiene 45.70888889 11.47805556 203 190 196 191 191 195 217 225 225 225 293 227 180 186 191 201
TonezzadelCimone 45.85833333 11.34611111 204 4085 3919 3923 4115 4194 4279 1230 1128 1230 2097 2243 1988 2024 1997 2026
Torrebelvicino 45.71888889 11.31138889 205 42 42 42 42 42 32 39 39 39 8 30 23 29 35 35
TorridiQuartesolo 45.52138889 11.61694444 206 0 0 7 219 219 223 233 234 233 256 259 261 261 261 261
Trissino 45.56888889 11.36972222 207 92 92 92 96 92 104 104 104 104 56 120 120 125 133 133
Valdagno 45.64722222 11.3 208 148 148 148 151 151 163 122 117 122 75 86 89 89 91 87
Valdastico 45.88583333 11.36361111 209 14 14 14 14 14 23 14 14 14 14 14 14 14 14 14
VallidelPasubio 45.74111111 11.26111111 210 340 282 256 274 294 231 231 231 231 218 234 231 236 236 240
Valstagna 45.86166667 11.65666667 211 0 0 0 0 6 12 12 12 12 114 17 17 15 21 27
Velod'Astico 45.78972222 11.36666667 212 166 122 122 122 122 124 124 36 124 36 124 46 38 38 38
Vicenza 45.54972222 11.54861111 213 2190 2620 2796 3053 3088 3209 3158 2860 3158 3219 3458 3600 3723 3726 3703
Villaga 45.40388889 11.53361111 214 0 18 26 26 26 38 38 38 38 83 83 94 78 78 78
Villaverla 45.65194444 11.49166667 215 15 50 50 50 50 50 50 50 50 70 70 85 85 105 105
Zanè 45.72305556 11.45805556 216 0 0 0 0 0 0 0 0 0 0 108 108 108 108 108
Zermeghedo 45.47694444 11.37 217 0 0 0 4 4 4 4 4 4 4 6 6 6 6 6
Zovencedo 45.42944444 11.50305556 218 8 8 8 8 8 8 8 0 8 10 16 28 28 28 28
Zugliano 45.73583333 11.52111111 219 16 16 26 26 26 38 38 38 38 16 38 44 44 42 47
Agordo 46.282500 12.034167 220 710 710 710 719 715 692 694 708 694 426 457 459 469 517 522
AlanodiPiave 45.909444 11.910278 221 197 197 197 221 222 222 105 105 105 230 124 124 124 180 180
Alleghe 46.408611 12.019722 222 1966 1995 1997 2011 2386 2337 1991 1280 1991 2053 2107 2108 2112 2208 2280
Arsiè 45.983333 11.756667 223 715 715 715 715 718 665 870 698 870 765 711 717 813 874 874
AuronzodiCadore 46.554167 12.437778 224 6458 6457 6451 6941 6951 7013 3994 4153 3994 7348 5753 5757 5904 6632 6685
Belluno 46.141389 12.214444 225 2327 2303 2336 2586 2542 2533 1925 1937 1925 2002 1839 1830 1912 1886 2001
BorcadiCadore 46.438611 12.219444 226 3190 3744 3751 3764 3764 3764 3146 3146 3146 1177 1166 1165 1188 1361 1374
CalalzodiCadore 46.450278 12.380556 227 1272 1331 1331 1331 1391 1375 1271 739 1271 1065 1092 1067 1074 1306 1330
Castellavazzo 46.287778 12.308611 228 0 0 0 0 5 10 10 10 10 9 9 9 9 9 22
CencenigheAgordino 46.355278 11.968056 229 500 500 500 500 342 311 171 54 171 261 269 279 297 324 329
Cesiomaggiore 46.089167 11.990000 230 192 192 200 199 200 205 160 169 160 275 184 193 210 253 345
Chiesd'Alpago 46.173333 12.387500 231 886 906 901 901 919 937 37 30 37 892 52 52 52 945 945
CibianadiCadore 46.390556 12.285833 232 137 137 137 137 137 122 127 153 127 89 111 111 117 135 135
ColleSantaLucia 46.447778 12.015278 233 392 392 392 416 412 257 359 340 359 273 329 305 307 313 340
ComelicoSuperiore 46.594167 12.513333 234 2690 2722 2722 2697 2704 2678 499 548 499 2709 1648 1551 1641 2013 2037
Cortinad'Ampezzo 46.538889 12.136944 235 16827 16827 16826 17969 18108 18122 16908 9814 16908 16181 10433 9902 9951 17450 17705
DantadiCadore 46.569444 12.520833 236 400 400 400 400 400 400 64 60 64 376 137 137 137 181 185
DomeggediCadore 46.463333 12.416111 237 2053 2047 2047 2047 1954 1954 1402 896 1402 1227 1229 1203 1240 1387 1409
Falcade 46.356111 11.859722 238 6108 6202 6208 6214 6716 7284 6691 6168 6691 5082 5085 5082 5188 5689 5821
Farrad'Alpago 46.123333 12.357778 239 1834 1838 1831 1969 2018 2018 918 774 918 1789 971 981 982 1929 1931
Feltre 46.022778 11.906389 240 479 435 441 463 462 561 459 528 459 716 453 484 446 590 717
Fonzaso 46.022500 11.798889 241 101 101 101 92 92 102 26 44 26 73 59 54 58 72 135
Canaled'Agordo 46.360556 11.915833 242 1928 1931 1931 1931 1931 2379 1739 1131 1739 1979 1820 1833 1858 1953 1992
FornodiZoldo 46.346389 12.176111 243 2589 2589 2589 2585 2641 2872 1178 1183 1178 2880 1804 1777 1830 2133 2176
Gosaldo 46.222778 11.954167 244 482 482 458 458 458 458 186 221 186 275 379 383 443 397 397
Lamon 46.050833 11.748056 245 1122 1100 1100 1101 1089 1120 63 69 63 1075 187 177 177 469 768
LaValleAgordina 46.283056 12.067500 246 111 111 111 111 105 105 71 77 71 139 88 88 88 124 124
Lentiai 46.046667 12.021111 247 220 220 214 231 270 271 190 218 190 237 95 95 95 192 192
Limana 46.100000 12.183611 248 36 36 48 59 59 90 84 92 84 82 103 109 115 115 125
LivinallongodelColdiLana 46.483056 11.955556 249 1930 1933 2035 2049 2190 2297 2455 2550 2455 2677 3063 2872 2928 2934 2947
Longarone 46.270833 12.301111 250 173 218 218 234 234 229 203 203 203 211 222 222 222 227 246
LorenzagodiCadore 46.481389 12.458333 251 1075 1075 1075 1075 1083 1083 732 283 732 453 465 447 484 687 675
LozzodiCadore 46.486389 12.440833 252 384 379 401 384 384 345 250 259 250 211 233 217 209 272 288
Mel 46.061667 12.080278 253 161 161 153 192 246 246 170 184 170 155 204 196 200 202 205
OspitalediCadore 46.332778 12.323611 254 11 11 11 11 0 0 12 12 12 12 0 0 0 6 6
Pedavena 46.045833 11.880833 255 357 333 333 333 338 365 244 112 244 224 173 168 226 313 412
PerarolodiCadore 46.398333 12.356667 256 104 0 0 59 0 0 0 4 0 12 55 43 43 46 51
Pieved'Alpago 46.168611 12.352222 257 1310 1310 1322 1324 1337 1325 214 127 214 1178 161 169 176 1260 1265
PievediCadore 46.432778 12.374722 258 2282 2373 2385 2399 2399 2399 993 979 993 1507 1366 1277 1295 1335 1342
PontenelleAlpi 46.175278 12.302222 259 777 777 777 808 812 812 179 186 179 172 205 205 221 221 235
Puosd'Alpago 46.144167 12.363056 260 174 174 174 174 178 178 96 96 96 72 72 72 72 153 163
Quero 45.922500 11.932222 261 14 14 14 14 14 14 0 0 0 30 16 24 24 24 24
RivamonteAgordino 46.258889 12.026944 262 106 106 106 106 129 129 39 39 39 107 101 120 118 126 126
RoccaPietore 46.435278 11.977778 263 3529 3724 3742 3755 3965 3897 3901 3863 3901 3712 3888 3799 3843 3864 3919
