Comune Latitudine Longitudine Codice
NogaroleRocca 45.29361111 10.88 54
Oppeano 45.30777778 11.18138889 55
Palù 45.32555556 11.15444444 56
Pastrengo 45.49277778 10.80277778 57
Pescantina 45.48416667 10.86833333 58
PeschieradelGarda 45.43888889 10.69472222 59
PoveglianoVeronese 45.34722222 10.88222222 60
Pressana 45.28583333 11.40222222 61
RivoliVeronese 45.5725 10.81333333 62
Roncà 45.48138889 11.29166667 63
Roncoall'Adige 45.33694444 11.24805556 64
Roverchiara 45.27305556 11.24833333 65
RoveredodiGuà 45.27416667 11.44333333 66
RoverèVeronese 45.59416667 11.06638889 67
Salizzole 45.24388889 11.08472222 68
SanBonifacio 45.39694444 11.27138889 69
SanGiovanniIlarione 45.52555556 11.23722222 70
SanGiovanniLupatoto 45.38444444 11.04555556 71
Sanguinetto 45.1825 11.15166667 72
SanMartinoBuonAlbergo 45.42361111 11.09472222 73
SanMaurodiSaline 45.56666667 11.11361111 74
SanPietrodiMorubio 45.24388889 11.22861111 75
SanPietroinCariano 45.51555556 10.87916667 76
Sant'AmbrogiodiValpolicella 45.525 10.83833333 77
Sant'Annad'Alfaedo 45.62833333 10.9525 78
SanZenodiMontagna 45.64 10.73333333 79
SelvadiProgno 45.6125 11.13972222 80
Soave 45.42305556 11.24888889 81
Sommacampagna 45.40805556 10.84555556 82
Sona 45.43444444 10.83361111 83
Sorgà 45.21388889 10.97944444 84
Terrazzo 45.17527778 11.39805556 85
TorridelBenaco 45.61027778 10.6875 86
Tregnago 45.515 11.16722222 87
Trevenzuolo 45.26972222 10.93361111 88
ValeggiosulMincio 45.35472222 10.73666667 89
VeloVeronese 45.60611111 11.09611111 90
Verona 45.44444444 10.99888889 91
Veronella 45.32194444 11.325 92
Vestenanova 45.57527778 11.22722222 93
Vigasio 45.3175 10.94166667 94
VillaBartolomea 45.15888889 11.35222222 95
VillafrancadiVerona 45.35333333 10.84638889 96
Zevio 45.37722222 11.13638889 97
Zimella 45.36527778 11.34138889 98
Agugliaro 45.32555556 11.58722222 99
Albettone 45.35861111 11.58555556 100
Alonte 45.36666667 11.42916667 101
AltavillaVicentina 45.50944444 11.47138889 102
Altissimo 45.61583333 11.25111111 103
Arcugnano 45.4975 11.5525 104
Arsiero 45.80416667 11.35166667 105
Arzignano 45.52166667 11.33388889 106
Asiago 45.87555556 11.50916667 107
AsiglianoVeneto 45.305 11.44666667 108
BarbaranoVicentino 45.41166667 11.54083333 109
BassanodelGrappa 45.76638889 11.73694444 110
BolzanoVicentino 45.60361111 11.62333333 111
Breganze 45.70888889 11.56305556 112
Brendola 45.4725 11.46027778 113
Bressanvido 45.645 11.63305556 114
Brogliano 45.58972222 11.36555556 115
Caldogno 45.61194444 11.50194444 116
Caltrano 45.77055556 11.465 117
Calvene 45.76611111 11.51222222 118
CamisanoVicentino 45.52416667 11.71416667 119
CampigliadeiBerici 45.33833333 11.54055556 120
CampolongosulBrenta 45.82944444 11.69972222 121
Carrè 45.74972222 11.46 122
Cartigliano 45.71472222 11.69833333 123
Cassola 45.73305556 11.79361111 124
Castegnero 45.43888889 11.6 125
Castelgomberto 45.58611111 11.395 126
Chiampo 45.54583333 11.27916667 127
Chiuppano 45.76416667 11.46472222 128
CismondelGrappa 45.92055556 11.73305556 129
CogollodelCengio 45.78944444 11.42083333 130
Conco 45.80166667 11.60916667 131
CornedoVicentino 45.61444444 11.345 132
Costabissara 45.58416667 11.48305556 133
Creazzo 45.53638889 11.47416667 134
Crespadoro 45.62083333 11.22611111 135
Dueville 45.63638889 11.54972222 136
Enego 45.94166667 11.70694444 137
FaraVicentino 45.74305556 11.5475 138
Foza 45.8975 11.63027778 139
Gallio 45.89194444 11.54722222 140
Gambellara 45.46305556 11.33777778 141
Gambugliano 45.58916667 11.43888889 142
Grancona 45.42444444 11.455 143
GrisignanodiZocco 45.47638889 11.70055556 144
GrumolodelleAbbadesse 45.5175 11.65916667 145
IsolaVicentina 45.63027778 11.44194444 146
Laghi 45.825 11.27305556 147
Lastebasse 45.91611111 11.27111111 148
Longare 45.48 11.60944444 149
Lonigo 45.38777778 11.38888889 150
LugodiVicenza 45.755 11.52305556 151
Lusiana 45.78583333 11.57444444 152
Malo 45.65777778 11.40583333 153
MaranoVicentino 45.69333333 11.43027778 154
Marostica 45.74805556 11.65611111 155
MasonVicentino 45.71944444 11.60888889 156
Molvena 45.735 11.61333333 157
MontebelloVicentino 45.45861111 11.38611111 158
MontecchioMaggiore 45.50638889 11.41027778 159
MontecchioPrecalcino 45.665 11.56055556 160
MontediMalo 45.66138889 11.36305556 161
Montegalda 45.44527778 11.67944444 162
Montegaldella 45.43666667 11.67527778 163
Monteviale 45.56166667 11.45833333 164
MonticelloConteOtto 45.59555556 11.58583333 165
MontorsoVicentino 45.49027778 11.36277778 166
Mossano 45.42083333 11.55527778 167
Mussolente 45.78416667 11.80361111 168
Nanto 45.42527778 11.59361111 169
NogaroleVicentino 45.56055556 11.28833333 170
Nove 45.72666667 11.67916667 171
NoventaVicentina 45.29138889 11.54 172
Orgiano 45.35222222 11.46638889 173
Pedemonte 45.91027778 11.30972222 174
Pianezze 45.74166667 11.6275 175
PioveneRocchette 45.76166667 11.43055556 176
PoianaMaggiore 45.29055556 11.50138889 177
Posina 45.79222222 11.26194444 178
PovedelGrappa 45.80166667 11.72888889 179
Pozzoleone 45.64972222 11.68 180
QuintoVicentino 45.57416667 11.62611111 181
RecoaroTerme 45.70638889 11.225 182
Roana 45.86555556 11.47416667 183
Romanod'Ezzelino 45.78 11.77083333 184
Rosà 45.72444444 11.76472222 185
RossanoVeneto 45.70694444 11.80333333 186
Rotzo 45.86583333 11.40138889 187
Salcedo 45.76027778 11.565 188
Sandrigo 45.66166667 11.60361111 189
SanGermanodeiBerici 45.40222222 11.47666667 190
SanNazario 45.84194444 11.69 191
SanPietroMussolino 45.58861111 11.25777778 192
Santorso 45.73916667 11.39027778 193
SanVitodiLeguzzano 45.68333333 11.37638889 194
Sarcedo 45.70944444 11.52722222 195
Sarego 45.40777778 11.4075 196
Schiavon 45.69861111 11.64472222 197
Schio 45.71527778 11.36166667 198
Solagna 45.81527778 11.72138889 199
Sossano 45.35888889 11.50972222 200
Sovizzo 45.52944444 11.4475 201
TezzesulBrenta 45.685 11.70361111 202
Thiene 45.70888889 11.47805556 203
TonezzadelCimone 45.85833333 11.34611111 204
Torrebelvicino 45.71888889 11.31138889 205
TorridiQuartesolo 45.52138889 11.61694444 206
Trissino 45.56888889 11.36972222 207
Valdagno 45.64722222 11.3 208
Valdastico 45.88583333 11.36361111 209
VallidelPasubio 45.74111111 11.26111111 210
Valstagna 45.86166667 11.65666667 211
Velod'Astico 45.78972222 11.36666667 212
Vicenza 45.54972222 11.54861111 213
Villaga 45.40388889 11.53361111 214
Villaverla 45.65194444 11.49166667 215
Zanè 45.72305556 11.45805556 216
Zermeghedo 45.47694444 11.37 217
Zovencedo 45.42944444 11.50305556 218
Zugliano 45.73583333 11.52111111 219
Agordo 46.2825 12.03416667 220
AlanodiPiave 45.90944444 11.91027778 221
Alleghe 46.40861111 12.01972222 222
Arsiè 45.98333333 11.75666667 223
AuronzodiCadore 46.55416667 12.43777778 224
Belluno 46.14138889 12.21444444 225
BorcadiCadore 46.43861111 12.21944444 226
CalalzodiCadore 46.45027778 12.38055556 227
Castellavazzo 46.28777778 12.30861111 228
CencenigheAgordino 46.35527778 11.96805556 229
Cesiomaggiore 46.08916667 11.99 230
Chiesd'Alpago 46.17333333 12.3875 231
CibianadiCadore 46.39055556 12.28583333 232
ColleSantaLucia 46.44777778 12.01527778 233
ComelicoSuperiore 46.59416667 12.51333333 234
Cortinad'Ampezzo 46.53888889 12.13694444 235
DantadiCadore 46.56944444 12.52083333 236
DomeggediCadore 46.46333333 12.41611111 237
Falcade 46.35611111 11.85972222 238
Farrad'Alpago 46.12333333 12.35777778 239
Feltre 46.02277778 11.90638889 240
Fonzaso 46.0225 11.79888889 241
Canaled'Agordo 46.36055556 11.91583333 242
FornodiZoldo 46.34638889 12.17611111 243
Gosaldo 46.22277778 11.95416667 244
Lamon 46.05083333 11.74805556 245
LaValleAgordina 46.28305556 12.0675 246
Lentiai 46.04666667 12.02111111 247
Limana 46.1 12.18361111 248
LivinallongodelColdiLana 46.48305556 11.95555556 249
Longarone 46.27083333 12.30111111 250
LorenzagodiCadore 46.48138889 12.45833333 251
LozzodiCadore 46.48638889 12.44083333 252
Mel 46.06166667 12.08027778 253
OspitalediCadore 46.33277778 12.32361111 254
Pedavena 46.04583333 11.88083333 255
PerarolodiCadore 46.39833333 12.35666667 256
Pieved'Alpago 46.16861111 12.35222222 257
PievediCadore 46.43277778 12.37472222 258
PontenelleAlpi 46.17527778 12.30222222 259
Puosd'Alpago 46.14416667 12.36305556 260
Quero 45.9225 11.93222222 261
RivamonteAgordino 46.25888889 12.02694444 262
RoccaPietore 46.43527778 11.97777778 263
SanGregorionelleAlpi 46.10555556 12.02472222 264
SanNicolòdiComelico 46.58361111 12.52694444 265
SanPietrodiCadore 46.57333333 12.58666667 266
SantaGiustina 46.08583333 12.04194444 267
SanTomasoAgordino 46.38194444 11.97527778 268
SantoStefanodiCadore 46.55972222 12.55027778 269
SanVitodiCadore 46.46555556 12.20444444 270
Sappada 46.56611111 12.67833333 271
Sedico 46.11166667 12.09833333 272
SelvadiCadore 46.4525 12.03527778 273
SerendelGrappa 45.98916667 11.84638889 274
Sospirolo 46.14416667 12.07416667 275
Soverzene 46.20638889 12.30305556 276
Sovramonte 46.0625 11.78638889 277
TaibonAgordino 46.30055556 12.01111111 278
Tambre 46.13083333 12.42361111 279
Trichiana 46.07472222 12.13111111 280
ValladaAgordina 46.37111111 11.93111111 281
VallediCadore 46.42055556 12.33611111 282
Vas 45.94 11.93833333 283
VigodiCadore 46.50027778 12.47222222 284
VodoCadore 46.42 12.24666667 285
VoltagoAgordino 46.27472222 12.00555556 286
ZoldoAlto 46.37638889 12.1275 287
ZoppèdiCadore 46.38861111 12.17222222 288
Altivole 45.75444444 11.95611111 289
Arcade 45.78638889 12.21944444 290
Asolo 45.80416667 11.91416667 291
BorsodelGrappa 45.82222222 11.80027778 292
BredadiPiave 45.72444444 12.33138889 293
CaeranodiSanMarco 45.7875 12.00194444 294
CappellaMaggiore 45.97083333 12.36277778 295
Carbonera 45.68055556 12.28694444 296
CasalesulSile 45.59916667 12.32666667 297
Casier 45.63555556 12.25833333 298
Castelcucco 45.83555556 11.88277778 299
CastelfrancoVeneto 45.67305556 11.92666667 300
CastellodiGodego 45.69388889 11.88111111 301
CavasodelTomba 45.86111111 11.89722222 302
Cessalto 45.71333333 12.61305556 303
Chiarano 45.73027778 12.5825 304
Cimadolmo 45.78805556 12.36305556 305
CisondiValmarino 45.97166667 12.1425 306
Codognè 45.86888889 12.43361111 307
ColleUmberto 45.9425 12.34333333 308
Conegliano 45.88722222 12.29722222 309
Cordignano 45.95083333 12.41611111 310
Cornuda 45.83305556 12.00694444 311
CrespanodelGrappa 45.82944444 11.83972222 312
CrocettadelMontello 45.82388889 12.01972222 313
FarradiSoligo 45.90805556 12.12472222 314
Follina 45.955 12.11888889 315
Fontanelle 45.83222222 12.46861111 316
Fonte 45.78611111 11.87055556 317
Fregona 46.00972222 12.34055556 318
Gaiarine 45.87972222 12.48361111 319
GiaveradelMontello 45.80333333 12.16861111 320
GodegadiSant'Urbano 45.92972222 12.39861111 321
GorgoalMonticano 45.78833333 12.55166667 322
Istrana 45.68027778 12.09972222 323
Loria 45.73111111 11.86611111 324
Mansuè 45.82361111 12.54083333 325
MarenodiPiave 45.8475 12.355 326
Maser 45.80944444 11.9775 327
MaseradasulPiave 45.75555556 12.31527778 328
MedunadiLivenza 45.8075 12.61361111 329
Miane 45.94583333 12.09555556 330
MoglianoVeneto 45.56305556 12.23666667 331
MonastierdiTreviso 45.65194444 12.43416667 332
Monfumo 45.83305556 11.92138889 333
Montebelluna 45.77666667 12.045 334
Morgano 45.63583333 12.08333333 335
MoriagodellaBattaglia 45.86722222 12.10083333 336
MottadiLivenza 45.77722222 12.61111111 337
NervesadellaBattaglia 45.82583333 12.20944444 338
Oderzo 45.78333333 12.49444444 339
Ormelle 45.78055556 12.42 340
Orsago 45.9325 12.4225 341
PadernodelGrappa 45.82805556 11.8525 342
Paese 45.67305556 12.15666667 343
Pederobba 45.85916667 11.98722222 344
PievediSoligo 45.90111111 12.1725 345
PontediPiave 45.7175 12.46361111 346
PonzanoVeneto 45.71916667 12.20916667 347
Portobuffolè 45.85472222 12.53861111 348
Possagno 45.85666667 11.88111111 349
Povegliano 45.75972222 12.20611111 350
Preganziol 45.60444444 12.23583333 351
QuintodiTreviso 45.64638889 12.16805556 352
Refrontolo 45.92444444 12.20694444 353
Resana 45.6325 11.95694444 354
RevineLago 45.99277778 12.23111111 355
RiesePioX 45.73083333 11.91972222 356
Roncade 45.62972222 12.37638889 357
Salgareda 45.70527778 12.49388889 358
SanBiagiodiCallalta 45.68472222 12.37694444 359
SanFior 45.92138889 12.35777778 360
SanPietrodiFeletto 45.91416667 12.25305556 361
SanPolodiPiave 45.7925 12.39583333 362
SantaLuciadiPiave 45.85166667 12.28722222 363
SanVendemiano 45.88861111 12.34527778 364
SanZenonedegliEzzelini 45.78055556 11.84055556 365
Sarmede 45.97944444 12.385 366
Segusino 45.91694444 11.95444444 367
SernagliadellaBattaglia 45.87583333 12.13361111 368
Silea 45.65444444 12.29916667 369
Spresiano 45.78111111 12.25916667 370
Susegana 45.85222222 12.25055556 371
Tarzo 45.97361111 12.23305556 372
Trevignano 45.7425 12.08611111 373
Treviso 45.66638889 12.24527778 374
Valdobbiadene 45.9025 11.99722222 375
Vazzola 45.83888889 12.38027778 376
Vedelago 45.68722222 12.01972222 377
Vidor 45.86333333 12.03916667 378
Villorba 45.71333333 12.26 379
VittorioVeneto 45.99055556 12.29694444 380
VolpagodelMontello 45.77833333 12.12527778 381
ZensondiPiave 45.67916667 12.49222222 382
ZeroBranco 45.60222222 12.16833333 383
AnnoneVeneto 45.7975 12.68583333 384
CampagnaLupia 45.35694444 12.09833333 385
CampolongoMaggiore 45.33305556 12.05027778 386
Camponogara 45.38583333 12.07416667 387
Caorle 45.6025 12.88833333 388
Cavarzere 45.13666667 12.08388889 389
Ceggia 45.68611111 12.63777778 390
Chioggia 45.22055556 12.27944444 391
CintoCaomaggiore 45.82611111 12.78666667 392
Cona 45.19444444 12.04166667 393
ConcordiaSagittaria 45.75722222 12.84527778 394
Dolo 45.42555556 12.07555556 395
Eraclea 45.57888889 12.67305556 396
Fiessod'Artico 45.41916667 12.03361111 397
FossaltadiPiave 45.64861111 12.51388889 398
FossaltadiPortogruaro 45.79222222 12.90916667 399
Fossò 45.38833333 12.05027778 400
Gruaro 45.83138889 12.84111111 401
Jesolo 45.54 12.64138889 402
Marcon 45.55555556 12.29916667 403
Martellago 45.54833333 12.15666667 404
Meolo 45.6225 12.45194444 405
Mira 45.435 12.1225 406
Mirano 45.49472222 12.1125 407
MusilediPiave 45.62388889 12.565 408
Noale 45.55194444 12.07305556 409
NoventadiPiave 45.66277778 12.53055556 410
Pianiga 45.45805556 12.03111111 411
Portogruaro 45.77722222 12.83722222 412
Pramaggiore 45.81444444 12.73861111 413
Quartod'Altino 45.58194444 12.37083333 414
Salzano 45.5225 12.10694444 415
SanDonàdiPiave 45.63388889 12.56527778 416
SanMichelealTagliamento 45.76722222 12.99472222 417
SantaMariadiSala 45.50833333 12.03611111 418
SantoStinodiLivenza 45.73194444 12.68166667 419
Scorzè 45.57444444 12.10944444 420
Spinea 45.49194444 12.16944444 421
Stra 45.41138889 12.00916667 422
TeglioVeneto 45.81638889 12.88694444 423
TorrediMosto 45.69138889 12.71083333 424
Venezia 45.43805556 12.3275 425
Vigonovo 45.38916667 12.00888889 426
AbanoTerme 45.36166667 11.79083333 427
Agna 45.17222222 11.96166667 428
Albignasego 45.3475 11.86805556 429
AnguillaraVeneta 45.14138889 11.88888889 430
ArquàPetrarca 45.27055556 11.71861111 431
Arre 45.21805556 11.93083333 432
Arzergrande 45.27583333 12.04583333 433
BagnolidiSopra 45.18638889 11.88472222 434
Baone 45.24444444 11.68777778 435
Barbona 45.10833333 11.66222222 436
BattagliaTerme 45.29194444 11.78527778 437
BoaraPisani 45.10861111 11.78277778 438
Borgoricco 45.53138889 11.96638889 439
Bovolenta 45.27111111 11.93944444 440
Brugine 45.29916667 11.99444444 441
Cadoneghe 45.45 11.91027778 442
Campodarsego 45.50305556 11.90861111 443
Campodoro 45.49388889 11.75333333 444
Camposampiero 45.57083333 11.93388889 445
CampoSanMartino 45.54861111 11.81138889 446
Candiana 45.22166667 11.9925 447
Carceri 45.19916667 11.62583333 448
CarmignanodiBrenta 45.63138889 11.71055556 449
Cartura 45.26916667 11.85972222 450
CasalediScodosia 45.18694444 11.46111111 451
Casalserugo 45.31805556 11.91361111 452
Castelbaldo 45.12416667 11.44666667 453
CervareseSantaCroce 45.40305556 11.69444444 454
CintoEuganeo 45.2925 11.66222222 455
Cittadella 45.65027778 11.785 456
Codevigo 45.26888889 12.10166667 457
Conselve 45.23277778 11.87583333 458
Correzzola 45.2375 12.06777778 459
Curtarolo 45.52305556 11.83305556 460
Este 45.22805556 11.65333333 461
Fontaniva 45.63805556 11.75694444 462
GallieraVeneta 45.66388889 11.82972222 463
GalzignanoTerme 45.31055556 11.72888889 464
Gazzo 45.58222222 11.7075 465
Grantorto 45.60194444 11.73027778 466
Granze 45.15611111 11.71444444 467
Legnaro 45.34666667 11.96611111 468
Limena 45.48194444 11.84388889 469
Loreggia 45.59333333 11.94583333 470
LozzoAtestino 45.28888889 11.62722222 471
MaseràdiPadova 45.32194444 11.865 472
Masi 45.10861111 11.48888889 473
Massanzago 45.55694444 12.00444444 474
MegliadinoSanFidenzio 45.21833333 11.51666667 475
MegliadinoSanVitale 45.19416667 11.52666667 476
Merlara 45.16888889 11.44166667 477
Mestrino 45.44277778 11.76083333 478
Monselice 45.23972222 11.75138889 479
Montagnana 45.23388889 11.46722222 480
MontegrottoTerme 45.33333333 11.78444444 481
NoventaPadovana 45.41527778 11.95083333 482
OspedalettoEuganeo 45.22388889 11.61138889 483
Padova 45.40916667 11.87305556 484
Pernumia 45.25861111 11.79055556 485
Piacenzad'Adige 45.12944444 11.54777778 486
PiazzolasulBrenta 45.54333333 11.78722222 487
PiombinoDese 45.60888889 12.00083333 488
PiovediSacco 45.29833333 12.035 489
Polverara 45.31222222 11.95888889 490
Ponso 45.19388889 11.58694444 491
Pontelongo 45.25083333 12.02388889 492
PonteSanNicolò 45.36555556 11.93722222 493
Pozzonovo 45.19777778 11.79416667 494
Rovolon 45.38722222 11.65333333 495
Rubano 45.42805556 11.78527778 496
Saccolongo 45.40611111 11.74916667 497
Saletto 45.22805556 11.53444444 498
SanGiorgiodellePertiche 45.54166667 11.91055556 499
SanGiorgioinBosco 45.59222222 11.80694444 500
SanMartinodiLupari 45.64916667 11.85777778 501
SanPietroinGu 45.61638889 11.66972222 502
SanPietroViminario 45.2475 11.82 503
SantaGiustinainColle 45.56444444 11.90805556 504
SantaMargheritad'Adige 45.21722222 11.55805556 505
Sant'AngelodiPiovediSacco 45.34638889 12.00888889 506
Sant'Elena 45.18777778 11.71111111 507
Sant'Urbano 45.12944444 11.64666667 508
Saonara 45.37083333 11.98583333 509
SelvazzanoDentro 45.39527778 11.78361111 510
Solesino 45.17916667 11.74277778 511
Stanghella 45.13583333 11.75722222 512
Teolo 45.36805556 11.70833333 513
TerrassaPadovana 45.24722222 11.90305556 514
Tombolo 45.64638889 11.83194444 515
Torreglia 45.33611111 11.73277778 516
Trebaseleghe 45.59138889 12.05166667 517
Tribano 45.21277778 11.83388889 518
Urbana 45.18944444 11.44388889 519
Veggiano 45.44805556 11.71583333 520
Vescovana 45.13555556 11.70916667 521
Vighizzolod'Este 45.17638889 11.62916667 522
Vigodarzere 45.4625 11.87833333 523
Vigonza 45.44527778 11.99166667 524
VilladelConte 45.58416667 11.86055556 525
VillaEstense 45.17388889 11.66916667 526
VillafrancaPadovana 45.49472222 11.79972222 527
VillanovadiCamposampiero 45.49194444 11.97388889 528
Vo 45.32972222 11.64083333 529
DueCarrare 45.28333333 11.83333333 530
Adria 45.0575 12.05694444 531
ArianonelPolesine 44.94861111 12.12388889 532
ArquàPolesine 45.01222222 11.74055556 533
BadiaPolesine 45.095 11.49111111 534
BagnolodiPo 45.01666667 11.50138889 535
Bergantino 45.06222222 11.2525 536
Bosaro 45.00472222 11.77166667 537
Calto 44.99305556 11.3575 538
Canaro 44.93833333 11.67638889 539
Canda 45.03555556 11.50972222 540
Castelguglielmo 45.02527778 11.53805556 541
Castelmassa 45.01805556 11.30944444 542
CastelnovoBariano 45.02888889 11.28666667 543
Ceneselli 45.01472222 11.36861111 544
Ceregnano 45.05305556 11.8725 545
Corbola 45.00805556 12.07861111 546
CostadiRovigo 45.05138889 11.69861111 547
Crespino 44.98583333 11.88583333 548
Ficarolo 44.95583333 11.43583333 549
FiessoUmbertiano 44.965 11.60111111 550
FrassinellePolesine 44.99666667 11.69972222 551
FrattaPolesine 45.03 11.64472222 552
Gaiba 44.94805556 11.48277778 553
Gavello 45.02194444 11.91555556 554
GiaccianoconBaruchella 45.06777778 11.45111111 555
GuardaVeneta 44.98222222 11.80277778 556
Lendinara 45.085 11.59972222 557
Loreo 45.06333333 12.18944444 558
Lusia 45.10166667 11.66361111 559
Melara 45.06527778 11.19805556 560
Occhiobello 44.92194444 11.58 561
Papozze 44.98694444 12.03 562
PettorazzaGrimani 45.13777778 11.9925 563
Pincara 44.99444444 11.61083333 564
Polesella 44.96722222 11.74972222 565
PontecchioPolesine 45.02083333 11.81222222 566
PortoTolle 44.95277778 12.33305556 567
Rosolina 45.07722222 12.24694444 568
Rovigo 45.0725 11.79277778 569
Salara 44.9875 11.42694444 570
SanBellino 45.02944444 11.59055556 571
SanMartinodiVenezze 45.13222222 11.87111111 572
Stienta 44.94055556 11.54444444 573
TagliodiPo 45.01 12.20833333 574
Trecenta 45.03083333 11.46166667 575
Villadose 45.07305556 11.89222222 576
Villamarzana 45.015 11.69361111 577
VillanovadelGhebbo 45.05972222 11.64527778 578
VillanovaMarchesana 44.99055556 11.97861111 579
PortoViro 45.01666667 12.21666667 580
